"","feature","EM_Feature_velocity_585","EM_Feature_o2os_585","EM_Feature_phos_585","EM_Feature_tos_585"
"110","Acropora_efflorescens",48.9678899082569,49.6559633027523,50.1146788990826,47.3623853211009
"111","Acropora_elseyi",45.4691259021652,46.5918203688853,47.8748997594226,44.0256615878107
"112","Acropora_exquisita",48.6153846153846,49.9487179487179,50.6666666666667,47.2820512820513
"113","Acropora_florida",47.9757085020243,49.6963562753036,50,46.3562753036437
"114","Acropora_formosa",45.3543307086614,46.5354330708661,48.0314960629921,43.9370078740157
"115","Acropora_gemmifera",45.1784358390281,46.3173880030372,47.4563401670463,44.2672741078208
"116","Acropora_glauca",46.3031423290203,47.4121996303142,48.1515711645102,45.1940850277264
"117","Acropora_globiceps",46.3884430176565,46.1476725521669,47.5120385232745,44.46227929374
"118","Acropora_grandis",48.2035928143713,49.500998003992,50.0998003992016,46.2075848303393
"119","Acropora_granulosa",45.5476753349094,46.7297084318361,47.5965327029157,44.4444444444444
"120","Acropora_halmaherae",56.9908814589666,54.4072948328268,55.4711246200608,54.4072948328268
"121","Acropora_horrida",45.8075904677846,47.396293027361,47.83759929391,44.3954104148279
"122","Acropora_humilis",45.2681388012618,46.5299684542587,48.1072555205047,43.9274447949527
"123","Acropora_hyacinthus",45.2200303490137,46.3581183611533,47.7238239757208,44.2336874051593
"124","Acropora_inermis",45.2509652509653,45.945945945946,47.1814671814672,44.015444015444
"125","Acropora_insignis",48.1707317073171,49.7967479674797,49.6951219512195,46.3414634146341
"126","Acropora_intermedia",45.2877397831526,47.1226021684737,48.3736447039199,44.1201000834028
"127","Acropora_kirstyae",49.31650893796,50.3680336487907,50.68349106204,47.1083070452156
"128","Acropora_latistella",44.811320754717,46.3050314465409,47.6415094339623,43.9465408805031
"129","Acropora_listeri",45.226917057903,46.4006259780908,48.1220657276995,43.9749608763693
"130","Acropora_longicyathus",45.8572600492207,47.1698113207547,48.4003281378179,44.3806398687449
"131","Acropora_loripes",45.2875399361022,46.7252396166134,47.8434504792332,44.0894568690096
"132","Acropora_lovelli",50.1702610669694,51.7593643586833,52.4404086265607,48.8081725312145
"133","Acropora_lutkeni",45.6112852664577,46.3949843260188,48.0407523510972,44.3573667711599
"134","Acropora_macrostoma",49.9472016895459,51.1087645195354,51.2143611404435,47.5184794086589
"135","Acropora_microclados",47.1454880294659,48.8029465930018,50.3683241252302,45.5801104972376
"136","Acropora_microphthalma",45.4245671887881,47.0733718054411,48.6397361912613,44.4352844187964
"137","Acropora_millepora",48.8610478359909,50.1138952164009,51.0250569476082,47.2665148063781
"138","Acropora_monticulosa",48.6486486486487,50.3503503503503,50.6506506506507,46.7467467467468
"139","Acropora_muricata",49.1838955386289,49.8367791077258,50.1632208922742,46.7899891186072
"140","Acropora_nasuta",45.3488372093023,46.1240310077519,47.8294573643411,43.953488372093
"141","Acropora_nobilis",45.2771272443404,46.2919594067135,48.0093676814988,44.0281030444965
"142","Acropora_palmerae",46.8104222821204,48.4276729559748,49.685534591195,45.3728661275831
"143","Acropora_paniculata",47.463768115942,48.6413043478261,49.5471014492754,45.7427536231884
"144","Acropora_parilis",48.1103166496425,49.9489274770174,49.6424923391216,46.4759959141982
"145","Acropora_polystoma",49.2537313432836,50.319829424307,50.2132196162047,46.6950959488273
"146","Acropora_prostrata",46.6607301869991,48.0854853072128,49.5102404274265,45.5031166518255
"147","Acropora_pulchra",45.0793650793651,46.5079365079365,48.0952380952381,44.047619047619
"148","Acropora_rambleri",49.2708333333333,50.3125,51.0416666666667,47.1875
"149","Acropora_retusa",45.6953642384106,46.2748344370861,47.4337748344371,43.5430463576159
"150","Acropora_robusta",45.1845906902087,46.9502407704655,48.3948635634029,44.0609951845907
"151","Acropora_rosaria",47.8346456692913,49.4094488188976,49.9015748031496,45.7677165354331
"152","Acropora_samoensis",45.125786163522,46.4622641509434,47.7201257861635,43.9465408805031
"153","Acropora_sarmentosa",45.6931911402789,47.1698113207547,48.8105004101723,44.5447087776866
"154","Acropora_secale",45.8961474036851,47.2361809045226,48.6599664991625,44.4723618090452
"155","Acropora_selago",47.7851083883129,49.1988689915174,50.2356267672008,45.8058435438266
"156","Acropora_solitaryensis",48.3236994219653,49.7109826589595,50.2890173410405,46.8208092485549
"157","Acropora_spathulata",52.9133858267717,53.0708661417323,52.4409448818898,49.9212598425197
"158","Acropora_speciosa",45.6852791878173,46.9543147208122,48.0541455160744,44.7546531302877
"159","Acropora_spicifera",48.6454652532391,50.0588928150766,50.6478209658422,46.9964664310954
"160","Acropora_subglabra",49.3887530562347,50.2444987775061,50.8557457212714,48.1662591687042
"161","Acropora_subulata",45.4545454545455,46.9967532467533,48.6201298701299,44.3181818181818
"162","Acropora_tenella",48.3365949119374,49.3150684931507,50.1956947162427,47.1624266144814
"163","Acropora_tenuis",45.1229183187946,46.629659000793,47.9777954004758,43.9333862014274
"164","Acropora_teres",47.1766848816029,48.0874316939891,48.9071038251366,45.9927140255009
"165","Acropora_valenciennesi",48.590021691974,49.3492407809111,50,46.6377440347072
"166","Acropora_valida",45.067264573991,46.0388639760837,47.3094170403587,44.0209267563528
"167","Acropora_vaughani",45.211038961039,46.7532467532467,47.8084415584416,44.3181818181818
"168","Acropora_verweyi",45.5089820359281,46.0329341317365,47.6796407185629,44.3862275449102
"169","Acropora_willisae",49.1169977924945,50.2207505518764,50.7726269315673,47.3509933774834
"170","Acropora_yongei",48.8730723606168,49.8220640569395,50.6524317912218,46.7378410438909
"171","Acrosterigma_dianthinum",48.0916030534351,49.4656488549618,50.9160305343511,47.4045801526718
"172","Acrosterigma_hobbsae",47.9909021986353,49.2797573919636,50.6444275966641,47.9909021986353
"173","Acrosterigma_maculosum",50.5167958656331,51.1627906976744,52.4547803617571,48.8372093023256
"174","Acrosterigma_profundum",38.9805097451274,41.9790104947526,42.4287856071964,38.6806596701649
