"","feature","MM-NorESM2-MM_Percentile_phos_585","MM-IPSL-CM6A-LR_Percentile_phos_585","MM-GFDL-ESM4_Percentile_phos_585","MM-CMCC-ESM2_Percentile_phos_585","MM-CanESM5_Percentile_phos_585","EM_Percentile_phos_585"
"638","Aprion_virescens",83.3989501312336,82.0209973753281,81.8897637795276,81.2992125984252,80.9711286089239,83.5301837270341
"639","Apterichtus_flavicaudus",85.4748603351955,84.6368715083799,86.5921787709497,83.1005586592179,82.2625698324022,88.1284916201117
"640","Apterichtus_jeffwilliamsi",98.7012987012987,83.1168831168831,79.2207792207792,89.6103896103896,76.6233766233766,84.4155844155844
"641","Apterichtus_klazingai",83.2618025751073,81.9027181688126,82.3319027181688,81.6165951359084,80.6151645207439,84.1201716738197
"642","Aquilonastra_burtoni",82.4524312896406,81.0782241014799,79.2811839323467,82.1353065539112,80.8668076109937,82.4524312896406
"643","Arabella_iricolor",85.7423795476893,83.9724680432645,83.7758112094395,83.677482792527,82.3008849557522,85.7423795476893
"644","Arabella_mutans",85.5184233076264,82.8620394173093,83.9760068551842,82.2622107969152,80.719794344473,84.6615252784919
"645","Arca_avellana",83.5714285714286,82.2142857142857,81.5714285714286,82.0714285714286,81.1428571428571,84
"646","Arca_navicularis",79.9418604651163,80.0872093023256,77.3255813953488,82.4127906976744,82.5581395348837,80.2325581395349
"647","Arca_ventricosa",84.21875,83.203125,81.875,83.359375,82.1875,84.6875
"648","Arcania_cornuta",80.8270676691729,80.5764411027569,79.0726817042606,82.8320802005013,83.0827067669173,81.9548872180451
"649","Arcania_elongata",82.9396325459318,79.002624671916,81.3648293963255,82.6771653543307,81.3648293963255,80.8398950131234
"650","Arcania_gracilis",80.6706114398422,78.9940828402367,78.5996055226825,80.6706114398422,79.585798816568,81.4595660749507
"651","Arcania_septemspinosa",78.8607594936709,78.4810126582278,78.8607594936709,79.3670886075949,80.253164556962,78.4810126582278
"652","Arcania_tuberculata",82.5285338015803,80.3336259877085,80.5092186128183,80.7726075504829,79.5434591747147,82.8797190517998
"653","Arcania_undecimspinosa",80.6896551724138,80.5911330049261,79.3103448275862,82.5615763546798,81.6748768472906,81.576354679803
"654","Archaster_angulatus",83.2258064516129,83.7096774193548,82.0967741935484,84.8387096774194,85.3225806451613,86.7741935483871
"655","Archaster_typicus",81.8099547511312,80.0904977375566,80.0904977375566,80.6334841628959,79.8190045248869,81.1764705882353
"656","Architectonica_maxima",82.8517587939699,81.7211055276382,81.4698492462311,80.9673366834171,80.7788944723618,83.3542713567839
"657","Architectonica_perspectiva",83.5255354200988,81.3014827018122,81.5485996705107,81.7957166392092,80.6425041186161,82.8665568369028
"658","Arcopagia_isseli",82.0404721753794,80.1011804384486,79.0050590219224,80.6070826306914,79.5109612141653,81.4502529510961
"659","Arcopsis_sculptilis",80,79.5266272189349,78.5798816568047,80.9467455621302,81.1834319526627,79.8816568047337
"660","Arcoscalpellum_michelottianum",75.6804133222622,73.3554755973798,62.9393855521727,71.5840944736599,76.6491373742965,75.4405387950918
"661","Arctides_regalis",88.4782608695652,86.5217391304348,86.9565217391304,83.0434782608696,81.304347826087,89.5652173913044
"662","Arctozenus_risso",43.4561626429479,31.5120711562897,54.002541296061,33.7992376111817,31.7662007623888,34.8157560355781
"663","Arcuatula_arcuatula",78.9312977099237,79.3893129770992,76.9465648854962,81.5267175572519,81.3740458015267,79.236641221374
"664","Arcuatula_senhousia",80.0287356321839,79.4540229885057,78.448275862069,81.1781609195402,81.4655172413793,80.316091954023
"665","Arcygobius_baliurus",81.0844892812106,80.9583858764187,78.1841109709962,83.2282471626734,83.1021437578815,82.3455233291299
