"","feature","EM_Percentile_tos_585","MM-NorESM2-MM_Percentile_tos_585","MM-IPSL-CM6A-LR_Percentile_tos_585","MM-GFDL-ESM4_Percentile_tos_585","MM-CMCC-ESM2_Percentile_tos_585","MM-CanESM5_Percentile_tos_585"
"7043","Pupa_affinis",31.6891891891892,33.050139275766,31.6891891891892,32.3986486486486,31.3829787234043,31.6891891891892
"7044","Pupa_alveola",33.3044982698962,33.5849056603774,33.6200716845878,34.1218637992832,31.9610778443114,32.9928315412186
"7045","Pupa_solidula",33.2278481012658,33.5929648241206,32.5778546712803,33.4256055363322,31.8181818181818,33.0622837370242
"7046","Pupa_strigosa",32.9411764705882,34.02,33.6,34.72,32.2,34.16
"7047","Pupa_sulcata",33.1880108991826,33.9684210526316,34.125,33.6388888888889,31.7549668874172,33.25
"7048","Purpura_persica",33.0684326710817,33.4870317002882,32.27,34.3818984547461,31.1368653421634,32.5493716337522
"7049","Purpuradusta_gracilis",31.0483870967742,32.2597864768683,30.9072580645161,32.1774193548387,31.3306451612903,31.2162162162162
"7050","Purpuradusta_minoridens",32.3214285714286,33.5858585858586,32.4109589041096,33.3698630136986,31.7714884696017,32.5068493150685
"7051","Pustularia_cicercula",32.4028268551237,33.7282780410742,32.4074074074074,33.9443155452436,31.2191358024691,33.020202020202
"7052","Pycnoclavella_diminuta",32.9725609756098,34.0070921985816,32.7591463414634,33.1859756097561,31.865671641791,32.5457317073171
"7053","Pycnocraspedum_squamipinne",34.1183879093199,34.8430493273543,33.9420654911839,33.4130982367758,31.7165668662675,33.8539042821159
"7054","Pycnodonte_hyotis",33.2774049217002,33.7075332348597,32.5052410901467,34.2953020134228,31.1633109619687,32.8491620111732
"7055","Pycnogonum_lobipes",30.8823529411765,34.4385026737968,30.1336898395722,32.379679144385,35,31.0695187165775
"7056","Pycnogonum_moolenbeeki",30.051724137931,30.051724137931,30.1724137931034,30.051724137931,35,32.1034482758621
"7057","Pycnogonum_musaicum",31.8737166324435,32.1252566735113,32.4127310061602,32.8080082135524,32.8439425051335,32.0893223819302
"7058","Pycnogonum_torresi",34.5085803432137,34.8907956318253,34.5631825273011,35,35,33.2527301092044
"7059","Pycnogonum_tuberculatum",32.1122112211221,33.4313725490196,32.5742574257426,32.6897689768977,31.6512345679012,32.1122112211221
"7060","Pygoplites_diacanthus",33.0188679245283,33.5479256080114,32.333984375,34.1928721174004,31.2578616352201,32.6957295373666
"7061","Pylocheles_mortensenii",33.2405745062837,33.9031339031339,33.0520646319569,33.7432675044883,31.2380952380952,32.6750448833034
"7062","Pylopaguropsis_fimbriata",33.2735426008969,33.7537091988131,32.5156576200418,34.372197309417,31.1547085201794,32.9757462686567
"7063","Pylopaguropsis_keijii",33.4851936218679,34.0874233128834,33.1991051454139,34.3621867881549,31.25284738041,33.0708661417323
"7064","Pylopaguropsis_lewinsohni",33.4578544061303,33.7931034482759,33.1896551724138,33.9942528735632,31.3122605363985,33.0782029950083
"7065","Pylopaguropsis_zebra",32.7068965517241,33.3986928104575,32.5862068965517,32.3448275862069,31.8620689655172,31.8620689655172
"7066","Pyramidella_sulcata",32.7791878172589,33.8052208835341,32.9019073569482,33.5694822888283,31.6247379454927,32.8065395095368
"7067","Pyramodon_punctatus",35,35,35,35,35,35
"7068","Pyramodon_ventralis",33.4518167456556,34.3241379310345,33.6780575539568,33.8039568345324,31.9154676258993,33.1744604316547
"7069","Pyrene_flava",32.9462102689486,34.0540540540541,33.5616438356164,34.1369863013699,31.1111111111111,33.3698630136986
"7070","Pyrene_obtusa",32.7865612648221,34.0316205533597,33.201581027668,34.1699604743083,32.5098814229249,33.0632411067194
"7071","Pyrene_punctata",32.3471882640587,33.49609375,32.4390243902439,33.4823848238482,31.9628099173554,32.6287262872629
"7072","Pyrene_scripta",32.3826086956522,33.6895475819033,32.3584905660377,33.9491916859122,31.0876132930514,32.3870333988212
"7073","Pyrene_testudinaria",32.725,33.6779324055666,32.6287262872629,33.5772357723577,31.6012396694215,32.7235772357724
"7074","Pyrene_turturina",32.725988700565,33.7093275488069,33.5127478753541,33.6118980169972,31.9047619047619,32.7195467422096
"7075","Pyrene_varians",32.5147928994083,33.8494809688581,33.1265206812652,33.8929440389294,30.8272506082725,33.0733944954128
"7076","Pyrgoma_cancellatum",32.5352112676056,33.5320088300221,32.2368421052632,32.8508771929825,31.6935483870968,32.4415204678363
"7077","Pyrosoma_atlanticum",32.4390243902439,35,32.4390243902439,35,35,34.1463414634146
"7078","Pyroteuthis_margaritifera",30.5224728926198,30.6295907660021,30.5653200419727,30.4184155299056,30.5622595313047,30.5255334032879
"7079","Pythia_scarabaeus",32.4897540983607,33.3214920071048,32.3009950248756,33.6940298507463,31.1247803163445,32.5717703349282
"7080","Pyura_confragosa",31.8181818181818,35,32.8787878787879,35,35,33.9393939393939
"7081","Pyura_curvigona",31.5709459459459,32.8065395095368,31.5709459459459,32.3986486486486,31.2388059701493,31.6611842105263
"7082","Pyura_elongata",32.2397476340694,33.2051282051282,32.2397476340694,32.4605678233438,31.2059620596206,31.8085106382979
"7083","Pyura_gangelion",32.4722222222222,33.7931034482759,33.7361111111111,32.375,31.2083333333333,32.2777777777778
"7084","Pyura_irregularis",35,35,35,35,35,35
"7085","Pyura_viarecta",35,35,34.25,35,35,34.7107438016529
"7086","Pyura_vittata",32.0833333333333,33.0762411347518,31.8719806763285,33.4782608695652,31.2962962962963,32.0410628019324
"7087","Quadrans_gargadia",32.5797872340425,33.6764705882353,32.5271739130435,32.8125,31.656050955414,32.241847826087
"7088","Quadrella_coronata",33.0775444264943,34.1326530612245,33.0666666666667,33.7333333333333,31.4666666666667,32.6833631484794
"7089","Quadrella_maculosa",32.6364942528736,33.8242894056848,33.6262798634812,33.8054607508532,31.5955631399317,32.9034941763727
"7090","Quadrella_reticulata",32.9636363636364,33.2020547945205,32.4545454545455,32.5818181818182,31.3090909090909,32.0727272727273
"7091","Quadrimaera_pacifica",32.2453703703704,33.0956848030019,32.037037037037,33.5185185185185,31.4653465346535,32.2368421052632
"7092","Quidnipagus_palatam",33.226872246696,33.589928057554,32.5202429149798,34.3832599118943,31.2224669603524,32.737881508079
"7093","Quinqueloculina_disparilis",35,35,33.2867132867133,35,35,33.5772357723577
"7094","Quinqueloculina_philippinensis",33.1081081081081,34.4147157190635,33.5810810810811,34.6846846846847,32.6351351351351,33.7387387387387
"7095","Quinqueloculina_rugosa",35,35,33.2867132867133,35,35,33.5772357723577
"7096","Quollastria_capricornae",33.8235294117647,34.5772946859903,33.4313725490196,33.5294117647059,32.0142180094787,34.5098039215686
"7097","Quollastria_gonypetes",32.5581395348837,33.7272727272727,33.4883720930233,32.4418604651163,31.2790697674419,32.2093023255814
"7098","Quollastria_kapala",33.6214442013129,34.1463414634146,33.5448577680525,32.855579868709,32.0212765957447,33.3150984682713
"7099","Quollastria_subtilis",33.4210526315789,34.6236559139785,33.9473684210526,33.0263157894737,31.5789473684211,33.2894736842105
"7100","Rabaulichthys_squirei",35,35,35,35,35,35
"7101","Raja_velezi",33.7719298245614,35,34.3859649122807,35,32.5438596491228,31.3157894736842
"7102","Randallichthys_filamentosus",34.7445255474453,34.4890510948905,34.1058394160584,34.4890510948905,33.8503649635036,34.2418772563177
"7103","Ranina_ranina",32.5177304964539,33.624213836478,32.4390243902439,33.3582089552239,31.5716374269006,32.1106941838649
"7104","Ranzania_laevis",30.0008232485387,30.2456565656566,30.2025191405285,30.0382810570511,30.1304848933893,30.03251831728
"7105","Raoulserenea_hieroglyphica",33.3366336633663,33.8910891089109,32.9207920792079,34.1683168316832,31.3267326732673,32.8769497400347
"7106","Raoulserenea_komaii",33.1656184486373,33.8775510204082,33.3991683991684,34.3396226415094,31.3235294117647,32.8205128205128
"7107","Raoulserenea_ornata",33.4304932735426,33.7931034482759,33.1182795698925,34.372197309417,31.2331838565022,32.8666666666667
"7108","Raoulserenea_oxyrhyncha",33.5176470588235,33.8153846153846,32.65625,34.3411764705882,31.2941176470588,33.1614785992218
"7109","Rapa_rapa",33.3870967741935,33.9673913043478,33.4234234234234,34.4354838709677,31.1290322580645,32.9780876494024
"7110","Rapana_rapiformis",31.3157894736842,32.2044728434505,30.9210526315789,32.2368421052632,30.8974358974359,31.3541666666667
"7111","Raphidopus_ciliatus",35,35,35,35,35,35
"7112","Raspailia_wilkinsoni",34.1025641025641,35,31.4102564102564,35,35,35
"7113","Ratabulus_diversidens",35,35,35,32.6666666666667,35,35
"7114","Ratabulus_fulviguttatus",35,34.3396226415094,35,35,32,34.6022727272727
"7115","Ratabulus_megacephalus",32.0704845814978,32.972972972973,32.2246696035242,32.3788546255507,32.5330396475771,31.6079295154185
"7116","Rayllianassa_amboinensis",33.1452991452991,33.9143920595534,32.8461538461538,34.042735042735,31.4700854700855,32.7854938271605
"7117","Redigobius_balteatus",33.0373831775701,33.8443396226415,32.7102803738318,33.2554517133956,31.9796954314721,32.7102803738318
"7118","Redigobius_tambujon",31.8918918918919,32.9022082018927,31.58203125,32.8125,31.85546875,31.9675090252708
"7119","Regalecus_glesne",30.1716888577435,30.374912403644,30.7077785564121,30.3503854239664,30.8479327259986,30.6482130343378
"7120","Regalecus_russelii",35,35,35,35,35,35
"7121","Reidispongia_coerulea",30.7575757575758,35,31.8181818181818,35,35,33.9393939393939
"7122","Remora_albescens",30.1596487727001,30.3971263220914,30.6695270405109,30.4285571742167,30.7847734983037,30.6695270405109
"7123","Remora_australis",30.3768233387358,30.0081037277147,30.887358184765,30.0222852512156,31.0575364667747,32.6600486223663
"7124","Remora_brachyptera",30.4217884958243,30.5695786806794,30.9045697663508,30.4480623064652,30.970254292953,30.4706259737879
"7125","Remora_osteochir",30.4125745754933,30.4543368517669,30.7980725103258,30.2905002294631,30.7370353373107,30.4832491968793
"7126","Remora_remora",32.9981549815498,33.1578947368421,32.0431034482759,33.9667896678967,31.3191881918819,32.1276595744681
"7127","Reophax_scorpiurus",33.0343839541547,33.4280303030303,32.9942693409742,32.3724928366762,32.8939828080229,31.8309455587393
"7128","Repomucenus_huguenini",30.8823529411765,31.7957746478873,30.9420289855072,33.5810810810811,30.7251908396947,30.7251908396947
"7129","Retusa_amphizosta",31.7363344051447,33.0452127659574,31.5112540192926,32.2990353697749,31.3418079096045,31.619937694704
"7130","Retusa_sulcata",32.6951219512195,33.9168278529981,33.5487804878049,33.6341463414634,31.6666666666667,33.1219512195122
"7131","Rhabdamia_spilota",32.2406639004149,33.6929460580913,33.8381742738589,32.8215767634855,31.9502074688797,33.1120331950207
"7132","Rhabdastrella_globostellata",32.6240208877285,33.4623430962343,32.2295514511873,32.8759894459103,31.4566115702479,32.1372031662269
"7133","Rhabdastrella_sterrastraea",32.3369565217391,31.5760869565217,34.6195652173913,35,32.7173913043478,31.5760869565217
"7134","Rhabderemia_sorokinae",32.8586497890295,34.1107078039927,33.3755274261603,32.8586497890295,31.6310160427807,32.415611814346
"7135","Rhabdoblennius_nigropunctatus",35,33.9147286821705,33.9147286821705,35,34.1860465116279,34.2953020134228
"7136","Rhabdoblennius_nitidus",32.2727272727273,32.7745664739884,31.5909090909091,32.5,31.5909090909091,31.5909090909091
"7137","Rhabdoblennius_rhabdotrachelus",31.9772727272727,33.25,32.7727272727273,34.2045454545455,31.8181818181818,33.25
"7138","Rhabdoblennius_snowi",34.6482412060301,34.2964824120603,33.9447236180904,35,31.0076045627376,34.3805309734513
"7139","Rhabdosoma_whitei",32.4891304347826,33.4173913043478,32.572706935123,33.2774049217002,31.3379073756432,32.1812080536913
"7140","Rhadinesthes_decimus",31.836,33.978,33.446,32.074,32.914,30.002
"7141","Rhamphocetichthys_savagei",30.8977875297129,30.9297860669227,31.1537758273907,31.4225635399525,30.3922106417992,30.29621503017
"7142","Rhaphoxya_systremma",35,34.3137254901961,33.6274509803922,35,35,34.0932642487047
"7143","Rhincalanus_nasutus",35,35,35,35,35,35
"7144","Rhincodon_typus",30.4627858249066,30.446843399836,30.711487656008,30.2364033889041,30.5935137104856,30.5138015851325
"7145","Rhinecanthus_aculeatus",33.0147058823529,33.5883171070932,32.3699421965318,34.3382352941176,31.25,32.5820379965458
"7146","Rhinecanthus_lunula",32.6989619377163,33.6678200692041,33.1833910034602,34.1522491349481,32.2145328719723,33.0622837370242
"7147","Rhinecanthus_rectangulus",33.234649122807,33.6981402002861,32.5450901803607,34.3859649122807,31.2390350877193,32.6957295373666
"7148","Rhinecanthus_verrucosus",32.6492537313433,33.6750788643533,32.2574626865672,32.910447761194,31.7350746268657,32.2977941176471
"7149","Rhinoclavis_articulata",32.1600877192982,33.161231884058,32.0121951219512,33.4634146341463,31.3554757630162,32.3536585365854
"7150","Rhinoclavis_aspera",32.9454926624738,33.5684062059238,32.4324324324324,34.1928721174004,31.0294117647059,32.6094570928196
"7151","Rhinoclavis_diadema",32.9198966408269,33.6565656565657,32.6271186440678,33.6158192090395,31.8454935622318,33.0225988700565
"7152","Rhinoclavis_fasciata",33.1910112359551,33.7462686567164,32.5156576200418,34.3707865168539,31.1460674157303,32.828947368421
"7153","Rhinoclavis_kochi",31.2666666666667,32.7638888888889,31.5,32.2,31.2275449101796,31.3099041533546
"7154","Rhinoclavis_longicaudata",31.6129032258064,33.3333333333333,31.8181818181818,31.1397058823529,32.0629370629371,32.4333333333333
"7155","Rhinoclavis_sinensis",33.1333333333333,33.4671532846715,32.2479838709677,34.2222222222222,30.9555555555556,32.5136612021858
"7156","Rhinoclavis_sordidula",32.1760391198044,33.2876712328767,32.0526315789474,33.0657894736842,31.43,31.9605263157895
"7157","Rhinomuraena_quaesita",33.3297180043384,33.8709677419355,32.8036437246964,34.3926247288503,31.2798264642082,32.8481012658228
"7158","Rhinopias_aphanes",33.1050955414013,34.2335766423358,33.5509554140127,33.9968152866242,32.0384615384615,33.8853503184713
"7159","Rhinopias_eschmeyeri",32.8638497652582,33.7333333333333,32.873417721519,33.4936708860759,31.453154875717,32.873417721519
"7160","Rhinoptera_adspersa",31.171875,32.0689655172414,31.71875,32.0833333333333,30.4427083333333,30.4427083333333
"7161","Rhinoptera_javanica",30.6437768240343,31.9685039370079,30.9442060085837,32.1459227467811,30.9442060085837,30.6623931623932
"7162","Rhipilia_orientalis",32.921875,34.0586797066015,33.140625,33.578125,31.6788321167883,33.90625
"7163","Rhizoprionodon_oligolinx",30.4411764705882,31.8421052631579,30.5882352941176,32.0588235294118,31.0294117647059,30.748987854251
"7164","Rhizoprionodon_taylori",30.0197628458498,30.0197628458498,34.1699604743083,31.403162055336,30.8498023715415,30.9189723320158
"7165","Rhizopsammia_verrilli",32.6321353065539,33.5714285714286,32.7467811158798,32.9721030042918,31.2704918032787,32.5214592274678
"7166","Rhizosmilia_maculata",35,35,35,35,35,35
"7167","Rhodosoma_turcicum",33.1721470019342,33.8770053475936,32.6360225140713,34.2553191489362,31.5473887814313,32.7011494252874
"7168","Rhopalaea_circula",30,30,35,31.7647058823529,30,32.0588235294118
"7169","Rhopalaea_crassa",31.827485380117,33.0123456790123,32.1345029239766,31.827485380117,31.3060686015831,31.3478260869565
"7170","Rhopalaea_desme",35,35,35,34.698275862069,35,35
"7171","Rhopalaea_respiciens",31.9495412844037,33.2339449541284,33.2339449541284,32.7522935779817,32.2706422018349,32.5917431192661
"7172","Rhopalonema_funerarium",35,35,35,35,35,35
"7173","Rhopalonema_velatum",32.9038112522686,33.2958801498127,32.1440972222222,33.8566243194192,31.1887477313975,32.3564954682779
"7174","Rhopalorhynchus_filipes",33.4782608695652,33.9855072463768,33.9855072463768,34.4927536231884,32.2101449275362,34.4927536231884
"7175","Rhopalorhynchus_tenuissimus",35,35,35,35,35,35
"7176","Rhynchoconger_ectenurus",32.5252525252525,33.1230283911672,32.4074074074074,32.2895622895623,31.7003367003367,31.5824915824916
"7177","Rhynchohyalus_natalensis",33.0710659898477,32.9695431472081,33.6294416243655,31.2182741116751,32.8045685279188,30
"7178","Rhynchorhamphus_georgii",30.625,31.9117647058823,30.625,32.0362903225806,30.7661290322581,30.6078431372549
"7179","Rhynchostracion_nasus",30.9143968871595,32.1554770318021,31.0505836575875,32.1400778210117,30.5058365758755,31.2407407407407
"7180","Rhynchothorax_mediterraneus",32.744966442953,33.5433070866142,32.1812080536913,33.1677852348993,30.5349794238683,32.1812080536913
"7181","Richardsonichthys_leucogaster",32.372654155496,33.3476394849785,32.292817679558,32.5828729281768,31.561135371179,32.0994475138122
"7182","Rictaxis_punctocaelatus",31.2113402061856,32.2139303482587,31.865671641791,34.0540540540541,31.4018691588785,31.3350785340314
"7183","Ringicula_grandinosa",32.1375464684015,33.731884057971,33.6988847583643,32.6579925650558,31.3568773234201,32.2676579925651
"7184","Rissoina_ambigua",32.5566037735849,33.889816360601,32.4166666666667,33.9166666666667,30.9593495934959,33.0174291938998
"7185","Rissoina_balteata",32.6380368098159,33.5777385159011,32.5862068965517,33.8793103448276,31.0975609756098,32.9066985645933
"7186","Rissoina_costata",33.25,33.7065217391304,32.4507874015748,34.1630434782609,31.2717391304348,32.6788830715532
"7187","Rissoina_tenuistriata",33.3796296296296,33.9028213166144,32.6666666666667,34.2708333333333,31.2731481481481,32.8169014084507
"7188","Ritteriella_amboinensis",32.1100917431193,33.168044077135,32.8593272171254,32.4311926605505,31.5,31.6819571865443
"7189","Roboastra_gracilis",32.0464135021097,33.1918819188192,31.7510548523207,32.6371308016878,31.8987341772152,32.3858921161826
"7190","Rocinela_orientalis",32.953216374269,33.8106796116505,33.4307992202729,33.4307992202729,31.2799401197605,32.953216374269
"7191","Rogadius_mcgroutheri",35,35,35,35,35,35
"7192","Rogadius_patriciae",32.0045045045045,33.4234234234234,33.7387387387387,32.7927927927928,32.3198198198198,32.4774774774775
"7193","Rogadius_pristiger",32.4074074074074,33.3293556085919,32.5892857142857,33.2078313253012,31.726618705036,31.9212962962963
"7194","Rogadius_serratus",31.4853556485356,33.3399209486166,32.9497907949791,32.6569037656904,31.3389121338912,31.7782426778243
"7195","Rogadius_welanderi",32.741935483871,32.741935483871,32.741935483871,33.7096774193548,31.1290322580645,33.7096774193548
"7196","Rondeletia_loricata",30.6008894904766,30.6019871420222,31.0792908630431,30.3940190921488,30.9906487434249,30.5096602265157
"7197","Rosacea_cymbiformis",32.5581395348837,34.1860465116279,31.3372093023256,35,32.1511627906977,31.3372093023256
"7198","Rosacea_plicata",31.3448623237072,31.0569173942243,30.3987575554063,30.915883143049,30.9746474143721,30.2929818670248
