"","feature","percentile_tos_245","percentile_tos_126","imptfeature_velocity_585","imptfeature_o2os_585","imptfeature_phos_585","imptfeature_tos_585","penalty_velocity_585","penalty_o2os_585","penalty_phos_585","penalty_tos_585","feature_velocity_585","feature_o2os_585","feature_phos_585","feature_tos_585","percentile_velocity_585","percentile_o2os_585","percentile_phos_585","percentile_tos_585","uninformed"
"3180","Eurypon_clavatum",89.0804597701149,92.5287356321839,100,100,100,100,50.5538771399799,51.0574018126888,46.6263846928499,45.619335347432,48.3383685800604,50.4531722054381,51.6616314199396,48.8418932527694,47.1264367816092,46.1206896551724,46.4080459770115,45.5459770114943,47.1299093655589
"3181","Euryspongia_delicatula",98.5074626865672,95.5223880597015,100,100,100,100,57.3684210526316,69.4736842105263,51.5789473684211,63.6842105263158,38.4210526315789,45.7894736842105,46.3157894736842,33.6842105263158,47.0149253731343,47.7611940298507,44.0298507462687,46.2686567164179,42.1052631578947
"3182","Eurysquilloides_sibogae",89.1832229580574,93.8189845474614,100,100,100,100,40.8352668213457,43.2327919566899,43.9288476411446,40.9899458623357,48.9559164733179,49.7293116782676,51.508120649652,48.2598607888631,48.0132450331126,46.3576158940397,43.9293598233996,45.4746136865342,47.2544470224285
"3183","Eurythenes_gryllus",88.7318087318087,90.0623700623701,100,100,100,100,35.438800756804,39.6157764517537,32.2078300101877,42.4537912967545,34.7256585649833,35.0167370106244,35.7298792024451,35.4679086013681,43.2640332640333,45.7796257796258,44.2619542619543,44.0540540540541,34.7111046427012
"3184","Eurythenes_thurstoni",87.0039128004472,88.9323644494131,100,100,100,100,32.5180982195265,32.3126589708472,33.2811582860497,34.3670514576404,41.9487380160438,41.9487380160438,41.9096067305811,43.3378986499707,45.1648965902739,45.5841252096143,43.4041363890442,43.963107881498,42.3302680493054
"3185","Eurythoe_complanata",86.6666666666667,91.5476190476191,100,100,100,100,39.5,37.8333333333333,40,38.9166666666667,44.5833333333333,46.0416666666667,45.9583333333333,45.2916666666667,46.0714285714286,45.4166666666667,43.5714285714286,43.3333333333333,43.4583333333333
"3186","Eustomias_appositus",89.7643593519882,85.7142857142857,100,100,100,100,30,31.6237113402062,38.2216494845361,35.2319587628866,30,30.0257731958763,30.0773195876289,30.3092783505155,42.8571428571429,44.9558173784978,45.1767304860088,49.3372606774669,30
"3187","Eustomias_bifilis",86.8100199512303,87.0649523387276,100,100,100,100,31.9742406020871,33.1419482484385,31.5785390076425,33.6268766730031,30.4806610544284,30.756100399581,30.7367032625984,31.2177522597665,43.7042784305032,43.7042784305032,43.3052538239858,44.352693416094,30.9345540598208
"3188","Eustomias_bimargaritoides",88.4065372829418,86.3295880149813,100,100,100,100,34.5092664322746,34.5152255527084,31.3151778797449,35.4984804242894,30.230617960789,30.7669387998331,30.5166557416125,31.3330552410464,42.9690160027239,44.3619047619048,43.8580931263858,43.8032005447736,30.6417972707228
"3189","Eustomias_braueri",86.2401185770751,86.8700592885375,100,100,100,100,30.3518934808923,30.0017292062943,30.0017292062943,30.105481583953,30.222203008819,30.0060522220301,30.0017292062943,30.0708974580667,43.0953557312253,42.8585920064922,43.3175453047776,42.8580343213729,30.0017292062943
"3190","Eustomias_bulbornatus",90.9414340448823,87.6967582744831,100,100,100,100,30.9174127351373,35.0870133789357,36.5657378533347,33.2813600241424,32.6677396640177,32.5973242128559,32.6476209636857,32.6073835630218,45.6276445698166,45.4617834394904,43.3251904009197,46.2857142857143,32.5671461623579
"3191","Eustomias_cirritus",98.2384823848238,92.6829268292683,100,100,100,100,33.965844402277,45.8254269449715,30.0284629981025,53.9373814041746,30.0284629981025,30.7400379506641,32.4003795066414,31.3567362428842,44.2411924119241,48.4417344173442,42.8861788617886,43.970189701897,30.5028462998102
"3192","Eustomias_crossotus",86.6114561766736,87.3475960432482,100,100,100,100,32.4905386907158,32.7079474997987,39.3187857315404,30.839842177309,32.7482083903696,32.2409211691763,32.4261212658024,32.1362428536919,45.4509415262636,44.1798941798942,43.7888198757764,45.2380952380952,32.095981963121
"3193","Eustomias_cryptobulbus",85.7208925887386,86.4377384668748,100,100,100,100,31.2277436063451,30.2444156685011,31.446260925866,30.9647134995144,30.8756879248948,31.4826804791195,31.2601165425704,31.7780835221755,42.8720083246618,44.4593596885697,43.0153266658007,43.8258758237947,31.6283586921334
"3194","Eustomias_dendriticus",87.4592662672133,87.4277304740881,100,100,100,100,30.9246109128371,33.7650391846646,31.2999006585967,33.4780529084955,31.5316972662718,31.5684903786011,31.6016041796976,32.2454836454616,45.0016572754392,43.3091558919374,42.9412383054767,44.1343424787133,31.6126421133964
"3195","Eustomias_enbarbatus",86.2647730658457,86.5726487238057,100,100,100,100,30.8652275176417,31.9671846212674,30.9660374734939,33.458476726805,30.4550352834845,30.2707963986512,30.4724163103556,30.5975597038273,43.9765617241037,43.3806733538584,43.3558446717648,44.1106366074089,30.0031285848368
"3196","Eustomias_fissibarbis",86.2896825396825,86.5972222222222,100,100,100,100,30.8170422584118,31.9281919511094,31.0114934546338,33.5254696343623,30.5357824924477,30.3135525539081,30.5184207784993,30.629535747769,43.9781746031746,43.3779761904762,43.3630952380952,44.1170634920635,30.0427098163131
"3197","Eustomias_gibbsi",88.848715509039,85.8991436726927,100,100,100,100,33.069135473558,32.5829226055681,30.0053283601971,34.2080724656987,30.01864926069,30.0586119621686,30.0053283601971,30.1651791661116,43.3777354900095,43.1779257849667,43.9239873312219,43.13986679353,30.3117090715332
"3198","Eustomias_ioani",100,87.8787878787879,100,100,100,100,70.5263157894737,100,68.4210526315789,100,47.3684210526316,44.2105263157895,51.5789473684211,49.4736842105263,50,50,50,50,47.3684210526316
"3199","Eustomias_medusa",88.8888888888889,88.8888888888889,100,100,100,100,80,100,60,100,30,30,32,30,50,50,50,50,30
"3200","Eustomias_pacificus",100,100,100,100,100,100,30.1498127340824,73.4082397003745,61.4232209737828,68.7265917602996,44.5692883895131,48.12734082397,50,49.063670411985,43.048128342246,48.1283422459893,50,47.3262032085562,49.063670411985
"3201","Eustomias_parini",90.3515944399019,86.4677023712183,100,100,100,100,33.5813421090285,32.2363714408356,31.8357418800973,40.7211332093289,30.0472170553727,30.0186006581771,30.0042924595793,30.0329088567749,42.8659035159444,42.8659035159444,44.9100572363042,43.6631234668847,30.0186006581771
"3202","Eustomias_paxtoni",85.7399103139013,96.491919590067,100,100,100,100,37.7275580665411,33.3490269930948,38.135593220339,31.1519146264909,30.0533584431889,30.0062774639046,30.021971123666,30.0062774639046,47.6759061833689,45.4009882174078,44.3497757847534,44.5739910313901,30.021971123666
"3203","Eustomias_perplexus",91.358681201808,91.0646939367566,100,100,100,100,32.6733678546045,32.0844755812773,39.5776220936136,31.3534368971469,32.0641689511626,31.7189562392121,31.7291095542695,31.7189562392121,47.334089619966,43.4650824442289,43.3565419205106,46.2236455831332,31.8407960199005
"3204","Eustomias_schmidti",86.1831275720165,86.6975308641975,100,100,100,100,31.9517464890169,32.6395390709399,31.1415196254951,33.9142960028808,30.7526107310047,30.3348937702557,30.6265754411235,30.9290601368383,43.940329218107,43.3950617283951,43.4413580246914,44.1255144032922,30.3673028447965
"3205","Eustomias_similis",97.5886524822695,85.8156028368794,100,100,100,100,34.0615690168818,46.9215491559086,30.0397219463754,64.8460774577954,34.4587884806355,34.9553128103277,35.1539225422046,35.8987090367428,42.9078014184397,46.8794326241135,42.9078014184397,46.5957446808511,34.8063555114201
"3206","Eustomias_simplex",86.0242138620297,87.1048996506053,100,100,100,100,30.1367915138071,30.1311037169752,30.0543184597446,30.1311037169752,30.0372550692489,30.0002843898416,30.0059721866735,30.0031282882575,42.9227269033883,43.3046233850654,42.9552287316162,43.4427561550337,30.0145038819213
"3207","Eustomias_vitiazi",89.6427052318163,87.430880476393,100,100,100,100,33.4449903230609,30.0059550394521,31.3607265148132,31.6361470894745,31.3011761202918,31.3458389161828,31.4128331100194,31.8296858716689,44.4279030199915,44.9383241173969,43.5559336452573,43.7473415567843,31.2416257257704
"3208","Eustomias_vulgaris",85.9365859365859,86.5215865215865,100,100,100,100,32.4242424242424,32.8828828828829,30,33.0917280917281,30.2088452088452,30.2047502047502,30.004095004095,30.4832104832105,43.4538434538435,44.0739440739441,43.8165438165438,44.4366444366444,30.3562653562654
"3209","Eusynstyela_grandis",100,100,100,100,100,100,37.5,100,100,100,87.5,87.5,87.5,50,50,50,50,50,87.5
