"","feature","EM_Percentile_CombinedMetric_585","EM_Percentile_MHW_585","EM_Percentile_velocity_585","EM_Percentile_o2os_585","EM_Percentile_phos_585","EM_Percentile_tos_585"
"5022","Microfragum_festivum",50.1933488012374,71.6163959783449,64.2691415313225,43.000773395205,73.7819025522042,65.1972157772622
"5023","Microfragum_subfestivum",52.0512820512821,75.2564102564102,67.5641025641026,45.8333333333333,77.5641025641026,68.0769230769231
"5024","Microgastra_granosa",50.7296137339056,70.9871244635193,64.8068669527897,42.6609442060086,74.9356223175966,63.0042918454936
"5025","Microgaza_fulgens",44.0509915014164,67.7053824362606,56.5155807365439,37.2521246458924,67.1388101983003,53.8243626062323
"5026","Micrognathus_andersonii",53.2608695652174,72.463768115942,67.3913043478261,46.4673913043478,75.5434782608696,65.3079710144928
"5027","Micrognathus_natans",53.9956803455724,72.6781857451404,65.5507559395248,46.7602591792657,76.2419006479482,62.2030237580993
"5028","Micrognathus_pygmaeus",54.5908183632734,73.75249500998,65.6686626746507,47.2055888223553,76.9461077844311,63.872255489022
"5029","Microliotia_koizumii",49.2957746478873,73.943661971831,62.2535211267606,44.7887323943662,78.5915492957746,62.8169014084507
"5030","Microliotia_ohashii",49.4350282485876,74.0112994350282,62.2881355932203,44.9152542372881,78.5310734463277,62.8531073446328
"5031","Micromelo_undatus",55.6962025316456,76.6244725738397,70.6329113924051,48.4388185654008,80,68.1012658227848
"5032","Micronephthys_sphaerocirrata",46.2365591397849,71.0309930423782,62.1758380771663,39.3421884882985,69.0702087286527,59.1397849462366
"5033","Micropagurus_polynesiensis",54.5091779728651,75.8978451715882,69.5929768555467,47.6456504389465,78.6113328012769,68.2362330407023
"5034","Microphis_argulus",56.8093385214008,82.295719844358,71.011673151751,50.3891050583658,92.6070038910506,72.568093385214
"5035","Microphis_brachyurus",54.0824575586095,76.0711398544867,69.765561843169,47.2109943411479,78.8197251414713,68.5529506871463
"5036","Microphotolepis_multipunctata",45.6185567010309,67.6546391752577,58.8917525773196,39.5618556701031,71.2628865979381,57.860824742268
"5037","Microprosthema_validum",52.4767801857585,70.1238390092879,62.8482972136223,45.3560371517028,71.8266253869969,58.2043343653251
"5038","Micropyga_tuberculata",54.6840958605665,79.9564270152505,72.1132897603486,51.19825708061,91.7211328976035,65.7952069716776
"5039","Microscleroderma_herdmani",59.4268476621418,77.526395173454,74.6606334841629,51.4328808446455,83.710407239819,74.8114630467572
"5040","Microsetella_rosea",49.7884344146686,71.5796897038082,64.6685472496474,42.1015514809591,73.4132581100141,61.3540197461213
"5041","Microstoma_microstoma",43.727825646224,56.1327927014698,50.0380131779017,40.4333502280791,61.6573745565129,66.5357323872276
"5042","Microtis_tuberculata",54.6824542518837,72.0129171151776,66.7384284176534,46.6092572658773,76.9644779332616,62.2174381054898
"5043","Microvoluta_joloensis",47.1784086926043,72.0294426919033,70.9779179810726,42.832106554504,75.3242201191728,69.8212407991588
"5044","Miersiella_haswelli",51.0749185667752,73.3550488599349,66.1889250814332,44.299674267101,73.0944625407166,65.3420195439739
"5045","Millepora_exaesa",53.9314516129032,72.883064516129,66.4314516129032,47.2782258064516,76.3104838709677,64.4153225806452
"5046","Millepora_intricata",62.1730382293763,73.8430583501006,74.8490945674044,52.9175050301811,81.6901408450704,70.0201207243461
"5047","Millepora_platyphylla",55.008210180624,76.4367816091954,69.8686371100164,47.8653530377668,79.3924466338259,68.2266009852217
"5048","Millepora_tenera",57.7519379844961,68.2170542635659,68.9922480620155,52.5193798449612,78.1007751937985,59.6899224806201
"5049","Mimachlamys_albolineata",38.9715632827464,56.3577427434802,51.8933254751731,35.9952851038751,55.4442316192721,53.2193900103138
"5050","Mimachlamys_cloacata",50.4065040650407,70.4607046070461,62.7371273712737,43.360433604336,71.5447154471545,58.2655826558266
"5051","Mimachlamys_gloriosa",35.5696763706221,49.8596128269543,51.4482045219447,33.3530367962169,49.8448352297916,48.2192995418945
"5052","Mimachlamys_lentiginosa",49.1480996068152,69.5937090432503,61.8610747051114,42.7260812581913,74.4429882044561,59.8951507208388
"5053","Mimachlamys_sanguinea",48.5581395348837,69.0232558139535,61.5813953488372,41.6744186046512,70.7906976744186,59.6279069767442
"5054","Minnivola_pyxidata",45.467032967033,66.8956043956044,58.9285714285714,38.8736263736264,71.2912087912088,57.967032967033
"5055","Minous_coccineus",50.7972665148064,70.7289293849658,63.0979498861048,42.4829157175399,74.7152619589977,61.0478359908884
"5056","Minous_monodactylus",46.7289719626168,67.022696929239,59.6795727636849,40.5874499332443,71.5620827770361,58.3444592790387
"5057","Minous_pusillus",49.5274102079395,74.1020793950851,59.5463137996219,44.234404536862,81.4744801512287,61.2476370510397
"5058","Minous_trachycephalus",48.4802431610942,67.4772036474164,60.790273556231,43.0091185410334,73.7082066869301,56.3829787234042
"5059","Minutella_minuta",62.5916870415648,80.9290953545232,82.640586797066,53.3007334963325,90.4645476772616,74.8166259168704
"5060","Minyichthys_brachyrhinus",54.8333333333333,74.4166666666667,66.5833333333333,47.1666666666667,75.75,66.75
"5061","Minyichthys_myersi",49.2140266021765,69.1656590084643,62.6360338573156,42.3216444981862,72.0677146311971,61.9105199516324
"5062","Minysicya_caudimaculata",53.7694013303769,74.2793791574279,66.8514412416851,45.6762749445676,78.0487804878049,62.5277161862528
"5063","Mirapecten_mirificus",52.2984676882079,75.2165223184544,67.4883411059294,45.5696202531646,77.3484343770819,68.4210526315789
