"","feature","EM_Feature_CombinedMetric_585","EM_Feature_MHW_585","EM_Feature_velocity_585","EM_Feature_o2os_585","EM_Feature_phos_585","EM_Feature_tos_585"
"8151","Thalamita_pseudopelsarti",49.5673671199011,54.5117428924598,54.6353522867738,58.4672435105068,44.6229913473424,51.1742892459827
"8152","Thalamita_quadrilobata",54.4960772480386,56.185878092939,57.7549788774894,50.1508750754375,42.6674713337357,47.5558237779119
"8153","Thalamita_sima",61.038961038961,56.4935064935065,50.2164502164502,47.5108225108225,47.6190476190476,42.6406926406926
"8154","Thalamita_spinifera",51.0184287099903,53.2492725509214,56.3045586808923,48.3511154219205,42.8225024248303,45.0533462657614
"8155","Thalamita_spinimana",55.7529610829103,56.3451776649746,54.6531302876481,46.7005076142132,44.6700507614213,43.7394247038917
"8156","Thalamitoides_quadridens",53.2614861032331,55.8706749858196,57.4588769143505,49.9149177538287,42.0873511060692,47.4191718661373
"8157","Thalamophyllia_tenuescens",41.4201183431953,50.5177514792899,56.3609467455621,46.8195266272189,42.2337278106509,39.6449704142012
"8158","Thalassina_anomala",57.292576419214,56.7685589519651,52.5764192139738,47.1615720524017,45.938864628821,43.5807860262009
"8159","Thalassocalyce_inconstans",62.839248434238,61.5866388308977,72.4425887265136,67.223382045929,39.0396659707724,77.2442588726514
"8160","Thalassocaris_crinita",55.1372549019608,57.0196078431373,53.3333333333333,47.7647058823529,43.6078431372549,43.6078431372549
"8161","Thalassodendron_ciliatum",59.3181818181818,51.4772727272727,49.6590909090909,47.1590909090909,48.2954545454545,39.6590909090909
"8162","Thalassograpsus_harpax",55.9814937210839,57.0389953734303,57.6999339061467,49.438202247191,43.291473892928,47.2571050892267
"8163","Thalassoma_amblycephalum",53.8933169834457,56.0392397302269,57.2654812998161,48.4365419987738,43.4702636419375,46.474555487431
"8164","Thalassoma_hardwicke",54.4205495818399,56.6308243727599,57.8255675029869,49.3428912783751,42.831541218638,47.4910394265233
"8165","Thalassoma_jansenii",51.9033674963397,54.7584187408492,55.710102489019,46.9253294289898,42.606149341142,42.0937042459736
"8166","Thalassoma_lunare",55.5831265508685,57.1339950372208,57.8163771712159,50.3101736972705,42.741935483871,47.7047146401985
"8167","Thalassoma_lutescens",54.3038705950318,55.9214326978625,58.4055459272097,50.2599653379549,43.1542461005199,48.2957827845176
"8168","Thalassoma_nigrofasciatum",40,67.9245283018868,75.8490566037736,46.7924528301887,35.2830188679245,49.0566037735849
"8169","Thalassoma_purpureum",54.5562130177515,56.508875739645,58.1656804733728,50.1183431952663,43.3727810650888,48.1656804733728
"8170","Thalassoma_quinquevittatum",54.7277936962751,56.3896848137536,58.6819484240688,50.4297994269341,43.0372492836676,48.5386819484241
"8171","Thalassoma_trilobatum",50.944669365722,53.3738191632928,55.3306342780027,45.9514170040486,44.331983805668,43.5222672064777
"8172","Thalessa_aculeata",53.9401343921808,56.7501527183873,57.4832009773977,48.8087965791081,42.7000610873549,47.0372632864997
"8173","Thalia_democratica",52.9411764705882,63.8655462184874,67.9471788715486,58.703481392557,34.3337334933974,52.7010804321729
"8174","Thamnaconus_fijiensis",38.785046728972,62.6168224299065,79.2056074766355,35.7476635514019,32.9439252336449,47.4299065420561
"8175","Thamnaconus_hypargyreus",56.6853482786229,55.964771817454,50.9207365892714,44.9959967974379,46.3570856685348,42.3538831064852
"8176","Thamnaconus_modestoides",51.1868533171029,54.5952525867316,55.203895313451,44.7352404138771,42.6049908703591,41.2659768715764
"8177","Thamnaconus_striatus",49.8714652956298,46.6580976863753,47.0437017994859,50.1285347043702,50.5141388174807,37.7892030848329
"8178","Tharyx_dorsobranchialis",51.0500807754443,61.3085621970921,64.6203554119548,54.281098546042,39.9030694668821,51.0500807754443
"8179","Thaumastocaris_streptopus",55.2976190476191,57.1428571428571,55.7142857142857,51.0119047619048,42.0238095238095,46.7261904761905
"8180","Thaumastochelopsis_brucei",38.2165605095541,47.1337579617834,77.0700636942675,36.9426751592357,36.9426751592357,35.6687898089172
"8181","Thaumoctopus_mimicus",61.5550755939525,55.3995680345572,50.8639308855292,47.8401727861771,47.6241900647948,42.3326133909287
"8182","Thecidellina_barretti",48.5549132947977,53.3076429030186,54.2710340398202,45.407835581246,41.8754014129737,40.3339755940912
"8183","Thecidellina_maxilla",45.7242582897033,52.1815008726004,59.2495636998255,45.4624781849913,41.2739965095986,45.7678883071553
"8184","Thelenota_ananas",54.3452380952381,56.3095238095238,57.9761904761905,50.1785714285714,42.5595238095238,47.8571428571429
"8185","Thelenota_anax",53.3862111043319,55.3386211104332,57.6571079926785,50.1525320317267,42.2208663819402,47.2239170225747
"8186","Thelepus_setosus",50.2212389380531,66.4823008849557,71.7920353982301,56.0840707964602,38.3849557522124,53.8716814159292
"8187","Thenea_muricata",38.7017255546426,35.3327855382087,31.101068200493,51.3147082990961,42.8923582580115,31.7173377156943
"8188","Theonella_levior",48.5981308411215,49.2656875834446,48.1975967957276,50.4672897196262,48.8651535380507,38.7182910547397
"8189","Theonella_swinhoei",57.5,54.9038461538462,47.2115384615385,46.6346153846154,46.8269230769231,40.7692307692308
"8190","Thermobiotes_mytilogeiton",42.7233710495513,51.8532969176746,55.8330081935232,41.0066328521264,37.4951229028482,39.3289114319157
"8191","Thersistrombus_thersites",39.2857142857143,63.8392857142857,75.6696428571429,36.3839285714286,37.2767857142857,49.1071428571429
"8192","Thor_amboinensis",53.7777777777778,56.3333333333333,57.5,50.1666666666667,42.5555555555556,47.9444444444444
"8193","Thor_paschalis",52.8416779431664,54.2625169147497,57.5778078484438,48.9851150202977,43.3694181326116,46.2787550744249
"8194","Thor_spinosus",45.3528399311532,51.2908777969019,56.2822719449225,47.2461273666093,42.9432013769363,40.7917383820998
"8195","Thrinacophora_cervicornis",41.981981981982,47.2072072072072,43.963963963964,47.9279279279279,53.8738738738739,34.7747747747748
"8196","Thromidia_catalai",42.1700223713647,52.9082774049217,56.1521252796421,49.7762863534676,44.0715883668904,42.1700223713647
"8197","Thrypticotrochus_multilobatus",47.6510067114094,51.1409395973154,54.5413870246085,42.9977628635347,42.2818791946309,38.6577181208054
"8198","Thryssa_baelama",54.1907514450867,57.3699421965318,54.6965317919075,47.1820809248555,43.4971098265896,43.5693641618497
"8199","Thunnus_alalunga",40.5283959911542,42.7798428457159,45.0359949183645,42.161106667294,42.045828824166,46.1911259586882
"8200","Thunnus_albacares",40.8863831001998,42.2566371681416,44.4452374155486,42.5587591588163,42.1234180226473,46.1794652202874
"8201","Thunnus_maccoyii",100,62.2641509433962,85.8490566037736,92.4528301886792,100,55.6603773584906
"8202","Thunnus_obesus",40.7733864088712,42.4533219600038,44.6592740024642,42.4296275234575,41.9936498910056,46.2136290399014
"8203","Thunnus_orientalis",40.5788456491136,42.1178210970867,44.2962468087137,42.1870153420343,42.2609816038749,45.8948724678485
"8204","Thyasira_trisinuata",68.75,60.2272727272727,68.1818181818182,69.6022727272727,50,78.4090909090909
"8205","Thyca_crystallina",60.4963805584281,55.5325749741468,49.5346432264736,48.5005170630817,47.3629782833506,41.6752843846949
"8206","Thyrolambrus_efflorescens",52.6748971193416,59.5336076817558,60.7681755829904,58.0246913580247,38.957475994513,58.0246913580247
"8207","Thyropus_sphaeroma",49.8518079430943,54.2382928275044,54.8310610551274,46.1173681090694,41.3159454653231,41.0788381742739
"8208","Thyroscyphus_fruticosus",49.209739427595,53.3105510465613,54.5493378897907,43.2721059376335,41.0935497650577,39.8974797095258
"8209","Thyroscyphus_scorpioides",37.1794871794872,38.8888888888889,78.2051282051282,34.1880341880342,32.4786324786325,30.3418803418803
"8210","Thysanactis_dentex",37.7839259486969,34.9284421218021,36.2810397240154,39.8606414591659,49.455203743553,35.3519827851214
"8211","Thysanocardia_catharinae",57.2450805008945,53.3691115086464,49.6720333929636,43.2915921288014,46.8694096601073,39.8330351818724
"8212","Thysanocardia_nigra",64.621409921671,61.6187989556136,54.4386422976501,49.7389033942559,42.6892950391645,43.0809399477807
"8213","Thysanophrys_celebica",60.6129398410897,55.6186152099887,49.4892167990919,46.7650397275823,46.9920544835414,41.8842224744608
"8214","Thysanophrys_chiltonae",54.1666666666667,57.2222222222222,57.3888888888889,50.2222222222222,42.0555555555556,47.7777777777778
"8215","Thysanopoda_aequalis",49.7454327643007,53.9383048817011,59.2991913746631,47.6789457921533,37.7358490566038,46.9601677148847
"8216","Thysanopoda_monacantha",51.5199368337939,52.4279510461903,55.1914725621792,46.1902881958152,42.5977102250296,43.7031188314252
"8217","Thysanopoda_tricuspidata",48.8044406490179,52.3911187019641,54.5687446626815,43.3390264730999,41.4175918018787,38.9837745516652
"8218","Thysanoteuthis_rhombus",50.0756620428752,50.3530895334174,52.6860025220681,45.8133669609079,38.8650693568726,45.2459016393443
"8219","Thysanozoon_nigropapillosum",59.1397849462366,54.9364613880743,51.0263929618768,47.5073313782991,47.702834799609,41.6422287390029
"8220","Tibatrochus_incertus",65.3171390013495,57.3549257759784,48.4480431848853,45.4790823211876,43.7246963562753,41.025641025641
"8221","Tibia_fusus",60.7257203842049,55.4962646744931,49.6264674493063,47.4919957310566,47.4919957310566,41.1953041622198
"8222","Timarete_anchylochaeta",48.1481481481481,63.1111111111111,63.2592592592593,49.1851851851852,39.8518518518518,42.6666666666667
"8223","Timea_granulata",52.2012578616352,33.9622641509434,35.8490566037736,54.0880503144654,56.6037735849057,37.1069182389937
"8224","Timoclea_costellifera",54.8566878980892,56.1305732484076,54.7770700636943,46.8949044585987,44.187898089172,43.0732484076433
"8225","Timoclea_marica",52.4305555555556,55.8333333333333,56.1111111111111,46.0416666666667,43.1944444444444,43.125
"8226","Tolypiocladia_glomerulata",52.0056298381422,55.4539057002111,55.8057705840957,46.3054187192118,42.716396903589,42.7867698803659
"8227","Tomiyamichthys_lanceolatus",59.0780809031044,58.4195672624647,51.552210724365,50.0470366886171,41.1100658513641,44.0263405456256
"8228","Tomiyamichthys_oni",54.5182972367438,56.235997012696,55.4891710231516,47.3487677371173,43.9133681852128,43.8386855862584
"8229","Tonna_allium",53.9942938659059,56.4194008559201,55.206847360913,47.432239657632,43.4379457917261,43.7945791726106
"8230","Tonna_canaliculata",57.080035180299,56.1125769569041,53.2102022867194,47.40545294635,45.3825857519789,42.919964819701
"8231","Tonna_cepa",51.128914785142,54.7705753823744,55.1347414420976,46.3219227967953,42.4617625637291,42.0975965040058
"8232","Tonna_chinensis",54.8837209302326,57.2868217054264,56.1240310077519,46.2790697674419,44.4961240310078,44.1860465116279
"8233","Tonna_dolium",56.595191682911,56.9200779727095,56.9200779727095,51.4619883040936,43.404808317089,47.8882391163093
"8234","Tonna_galea",48.3597692862293,50.7390050468637,53.4246575342466,43.0064888248017,37.4369142033165,41.2040374909877
"8235","Tonna_perdix",54.6590909090909,56.5340909090909,58.5227272727273,50.4545454545455,42.7840909090909,48.5227272727273
"8236","Tonna_sulcosa",60.0189933523267,56.7901234567901,49.9525166191833,48.338081671415,46.6286799620133,42.6400759734093
"8237","Tonna_tessellata",58.8179218303146,54.8141086749285,51.6682554814109,47.9504289799809,46.9971401334604,42.0400381315539
"8238","Torquigener_brevipinnis",54.3462897526502,57.1731448763251,54.7703180212014,46.7844522968198,43.2508833922262,43.9575971731449
"8239","Torquigener_hicksi",53.4531693472091,54.399243140965,52.7909176915799,46.6414380321665,46.073793755913,40.8703878902554
"8240","Torquigener_hypselogeneion",56.6147859922179,57.1335927367056,56.9390402075227,50.4539559014267,43.514915693904,47.4708171206226
"8241","Torquigener_pallimaculatus",55.3191489361702,51.7287234042553,47.3404255319149,49.468085106383,48.2712765957447,37.1010638297872
"8242","Torquigener_parcuspinus",54.2642140468227,55.8528428093645,53.0936454849498,46.6555183946488,44.6488294314381,42.4749163879599
"8243","Torquigener_tuberculiferus",60.0235849056604,52.122641509434,49.0566037735849,48.5849056603774,47.877358490566,39.3867924528302
"8244","Tortanus_forcipatus",61.0062893081761,56.1006289308176,50.5660377358491,45.9119496855346,46.5408805031447,41.1320754716981
"8245","Tosarhombus_neocaledonicus",37.3134328358209,57.2139303482587,80.5970149253731,36.81592039801,34.8258706467662,44.2786069651741
"8246","Toxopneustes_pileolus",52.0634920634921,56.3809523809524,55.5555555555556,46.9206349206349,41.8412698412698,43.1746031746032
"8247","Trachicephalus_uranoscopus",59.9229287090559,55.9730250481696,51.3487475915222,48.2658959537572,47.3988439306358,42.5818882466281
"8248","Trachichthys_australis",39.1304347826087,32.6086956521739,78.2608695652174,34.7826086956522,36.9565217391304,30.4347826086957
"8249","Trachinocephalus_myops",50.4273504273504,54.8076923076923,55.6623931623932,45.0854700854701,42.0940170940171,42.2542735042735
