"","feature","MM-NorESM2-MM_Percentile_o2os_585","MM-IPSL-CM6A-LR_Percentile_o2os_585","MM-GFDL-ESM4_Percentile_o2os_585","MM-CMCC-ESM2_Percentile_o2os_585","MM-CanESM5_Percentile_o2os_585"
"4110","Hydnophora_exesa",34.025069637883,32.6601671309192,34.6100278551532,31.6206896551724,31.2062937062937
"4111","Hydnophora_microconos",34.2290748898678,32.5330396475771,34.3832599118943,32.5581395348837,32.6872246696035
"4112","Hydroclathrus_clathratus",34.0869565217391,32.4891304347826,34.0108695652174,32.3432343234323,32.7173913043478
"4113","Hydroides_albiceps",30.4422604422604,32.1336206896552,33.875,31.3008130081301,34.698275862069
"4114","Hydroides_elegans",32.2644265887509,32.826880934989,31.9704163623083,30.5514974433893,30.3086194302411
"4115","Hydroides_heterocerus",31.8512110726644,34.0112994350282,34.4723618090452,31.5134099616858,35
"4116","Hydroides_longispinosus",33.5467128027682,33.7889273356401,34.757785467128,31.6623711340206,34.2733564013841
"4117","Hydroides_tuberculatus",33.5567010309278,33.1958762886598,34.7594501718213,31.704834605598,31.7209775967413
"4118","Hydrolagus_lemures",32.8625954198473,35,35,35,35
"4119","Hydrolithon_farinosum",34.1577540106952,33.596256684492,33.9705882352941,31.8870192307692,31.3059033989267
"4120","Hydrolithon_onkodes",34.1336633663366,34.3069306930693,33.8737623762376,34.0769230769231,32.4876237623762
"4121","Hydrolithon_reinboldii",34.1286307053942,34.4190871369295,34.4190871369295,33.6929460580913,33.5477178423236
"4122","Hydrophis_caerulescens",30.1612903225806,31.1111111111111,33.3828382838284,31.1607142857143,34.1358024691358
"4123","Hydrophis_coggeri",33.9825581395349,33.9825581395349,34.796511627907,31.9375,33.4738372093023
"4124","Hydrophis_cyanocinctus",30.2380952380952,31.3157894736842,33.5179153094463,31.15,34.0080971659919
"4125","Hydrophis_elegans",30.625,31.804347826087,33.6692015209125,31.0249307479224,34.3913043478261
"4126","Hydrophis_lapemoides",30.3048780487805,31.2284482758621,33.5,30.9973404255319,34.5474137931034
"4127","Hydrophis_macdowelli",33.0555555555556,33.6388888888889,34.4976076555024,32.8039215686274,35
"4128","Hydrophis_ornatus",30.4491725768322,32.1034482758621,33.2323232323232,34.1522491349481,33.7889273356401
"4129","Hydrophis_spiralis",30.3863636363636,31.4717741935484,33.6363636363636,31.2375,34.0120967741936
"4130","Hydropuntia_edulis",33.2412060301508,32.4497487437186,33.9277899343545,32.3029772329247,33.3291457286432
"4131","Hygophum_hygomii",32.4933687002653,31.0079575596817,31.5959328028294,31.2555260831123,30.0486295313882
