"","feature","EM_Percentile_velocity_585","EM_Percentile_o2os_585","EM_Percentile_phos_585","EM_Percentile_tos_585"
"2589","Diancistrus_leisi",86.036036036036,85.1351351351351,92.7927927927928,74.7747747747748
"2590","Diancistrus_longifilis",82.7213822894169,75.8099352051836,89.8488120950324,68.682505399568
"2591","Diancistrus_mcgroutheri",75.7971014492754,71.8840579710145,87.6811594202899,63.3333333333333
"2592","Diancistrus_novaeguineae",72.5933202357564,71.4145383104126,84.4793713163065,64.7347740667976
"2593","Diancistrus_tongaensis",88.051948051948,85.7142857142857,88.5714285714286,85.7142857142857
"2594","Diaphana_brazieri",81.3008130081301,68.2926829268293,84.5528455284553,62.6016260162602
"2595","Diaphus_adenomus",53.7626751737496,56.1268087045688,61.1797880824883,58.9381337586875
"2596","Diaphus_aliciae",46.9984771980444,40.8351366514386,80.3718842670514,43.2956640218001
"2597","Diaphus_anderseni",57.0986373934965,60.9790343683186,59.941921690015,62.4341832338769
"2598","Diaphus_bertelseni",60.0547392682224,59.3777009507347,65.3125900316912,58.2541054451167
"2599","Diaphus_brachycephalus",52.6528413681659,57.3600263339019,63.5754256815393,59.5235957746057
"2600","Diaphus_diadematus",48.3811626195732,42.9801324503311,78.7270051508462,44.981604120677
"2601","Diaphus_diademophilus",63.5757575757576,62.7878787878788,82.6666666666667,63.3939393939394
"2602","Diaphus_fragilis",51.5394411566409,52.6031912502809,70.791819611956,53.6594501460784
"2603","Diaphus_fulgens",44.9877584330794,41.6417301414581,81.2295973884657,44.6681175190424
"2604","Diaphus_garmani",49.4725267172949,55.4585753066905,70.9253977526545,56.5203944881619
"2605","Diaphus_impostor",47.7908124109199,52.1050323429449,73.4678215107993,52.7299638197566
"2606","Diaphus_knappi",76.1261261261261,93.6936936936937,91.4414414414414,89.1891891891892
"2607","Diaphus_luetkeni",40.6315253374077,45.6582633053221,74.5861981156099,46.4985994397759
"2608","Diaphus_megalops",40.1144375191581,34.780831715541,81.0156329825278,40.1348727904363
"2609","Diaphus_metopoclampus",83.7516808606006,55.7821604661587,68.2429403854774,57.328552218736
"2610","Diaphus_mollis",54.0596377659941,54.1319468356174,65.3811720955857,56.0085393567936
"2611","Diaphus_ostenfeldi",70.5882352941177,47.0588235294118,100,35.2941176470588
"2612","Diaphus_perspicillatus",51.442089326268,52.3012869038607,71.0938682816048,53.4065102195307
"2613","Diaphus_regani",49.8003739829181,52.1453479557285,70.9203012078637,52.7922373275383
"2614","Diaphus_schmidti",100,100,100,100
"2615","Diaphus_signatus",46.373474556758,42.2518996085655,79.2923478394351,45.3219740578709
"2616","Diaphus_splendidus",50.3916788558427,56.2652364700146,68.824963432472,57.6174223955794
"2617","Diaphus_taaningi",100,74.9128919860627,73.5191637630662,81.8815331010453
"2618","Diaphus_watasei",67.276529012023,60.8468374281234,81.1813904861474,60.2195504443283
"2619","Diaphus_wisneri",72.198275862069,70.4153605015674,68.9655172413793,73.3738244514107
"2620","Diazona_chinensis",68.6315789473684,70.1052631578947,88,59.1578947368421
