"","feature","EM_ClimatePriorityArea_CombinedMetric_585","EM_ClimatePriorityArea_MHW_585","EM_ClimatePriorityArea_velocity_585"
"2381","Cymolutes_lecluse",38.2142857142857,35.1190476190476,36.3095238095238
"2382","Cymolutes_praetextatus",34.4919786096257,36.0071301247772,36.096256684492
"2383","Cymolutes_torquatus",39.9293286219081,37.3851590106007,37.1731448763251
"2384","Cynarina_lacrymalis",35.626357711803,37.2918175235337,37.3642288196959
"2385","Cynoglossus_bilineatus",37.9897785349233,38.9267461669506,35.7751277683135
"2386","Cynoglossus_joyneri",36,44,40
"2387","Cynoglossus_kopsii",37.2426141450313,39.1226499552372,34.8254252461952
"2388","Cynoglossus_macrophthalmus",30.7167235494881,33.4470989761092,31.3993174061433
"2389","Cynoglossus_robustus",50,41.6666666666667,41.6666666666667
"2390","Cynoglossus_suyeni",36.8906455862978,38.471673254282,35.3096179183136
"2391","Cyphastrea_chalcidicum",35.3107344632768,37.1468926553672,37.4293785310734
"2392","Cyphastrea_microphthalma",35.9886201991465,37.5533428165007,37.6955903271693
"2393","Cyphastrea_serailia",40.341578327444,37.1024734982332,36.7491166077738
"2394","Cypho_purpurascens",35.0948509485095,36.7208672086721,37.3306233062331
"2395","Cypho_zaps",36.5097588978186,38.4615384615385,34.902411021814
"2396","Cypraea_arabica",40.5762304921969,37.2749099639856,36.9747899159664
"2397","Cypraea_argus",38.9024390243902,37.6829268292683,37.4390243902439
"2398","Cypraea_asellus",36.3429438543247,37.7086494688923,37.7845220030349
"2399","Cypraea_beckii",35.9956236323851,36.7614879649891,33.5886214442013
"2400","Cypraea_bistrinotata",40.5055849500294,36.9782480893592,36.68430335097
"2401","Cypraea_bouteti",41.5584415584416,38.3116883116883,41.6883116883117
"2402","Cypraea_caputserpentis",40.3846153846154,37.3543123543124,37.0629370629371
"2403","Cypraea_carneola",39.8737506575487,37.0331404523935,36.612309310889
"2404","Cypraea_caurica",40.5572755417957,37.5851393188854,37.1517027863777
"2405","Cypraea_childreni",39.5375722543353,37.1676300578035,36.7630057803468
"2406","Cypraea_chinensis",37.0478983382209,39.2961876832845,36.5591397849462
"2407","Cypraea_contaminata",40.5172413793103,35.3448275862069,34.4827586206897
"2408","Cypraea_cylindrica",35.1492537313433,36.2686567164179,36.5671641791045
"2409","Cypraea_eglantina",40.5071119356834,37.6004947433519,37.3531230674088
"2410","Cypraea_erosa",40.4973357015986,37.3593842510361,37.00414446418
"2411","Cypraea_errones",35.6683345246605,36.8834882058613,37.3123659756969
"2412","Cypraea_fimbriata",39.9638336347197,37.5527426160338,37.0102471368294
"2413","Cypraea_globulus",34.458398744113,35.1648351648352,36.6562009419152
"2414","Cypraea_helvola",40.1983663943991,37.2228704784131,37.1645274212369
"2415","Cypraea_isabella",40.3105232892467,37.3778033352501,36.7452558941921
"2416","Cypraea_labrolineata",35.4742345033607,36.7438386855863,37.1919342793129
"2417","Cypraea_leviathan",40.4748118123914,37.6954255935148,36.8847712796757
"2418","Cypraea_limacina",34.901625320787,36.2703165098375,37.6390076988879
"2419","Cypraea_lutea",35.453216374269,37.5730994152047,37.280701754386
"2420","Cypraea_mappa",39.8063781321185,37.1867881548975,36.7881548974943
"2421","Cypraea_mariae",34.9256068911511,35.8653093187157,36.6483946750196
"2422","Cypraea_mauritiana",40.6519065190652,37.5768757687577,37.5768757687577
"2423","Cypraea_moneta",39.7336293007769,37.0699223085461,36.4039955604883
"2424","Cypraea_obvelata",43.2112068965517,38.6853448275862,41.5948275862069
"2425","Cypraea_onyx",36.370425690814,37.9387602688574,37.6400298730396
"2426","Cypraea_ovum",36.3725490196078,38.0392156862745,36.4705882352941
"2427","Cypraea_pallidula",33.7004405286344,36.8942731277533,39.7577092511013
"2428","Cypraea_poraria",39.7237569060773,37.5138121546961,37.4033149171271
