"","feature","MM-NorESM2-MM_Percentile_velocity_585","MM-IPSL-CM6A-LR_Percentile_velocity_585","MM-GFDL-ESM4_Percentile_velocity_585","MM-CMCC-ESM2_Percentile_velocity_585","MM-CanESM5_Percentile_velocity_585","EM_Percentile_velocity_585"
"4054","Holothuria_dura",81.7725752508361,76.0869565217391,70.4013377926421,78.7625418060201,68.561872909699,76.2541806020067
"4055","Holothuria_edulis",70.0617283950617,72.2222222222222,68.2098765432099,74.537037037037,69.9845679012346,73.3796296296296
"4056","Holothuria_erinacea",67.8021978021978,73.2967032967033,66.2637362637363,72.8571428571428,68.4615384615385,71.4285714285714
"4057","Holothuria_foresti",84.9420849420849,83.7837837837838,71.8146718146718,86.1003861003861,76.4478764478765,81.0810810810811
"4058","Holothuria_fuscocinerea",68.3498647430117,73.0387736699729,65.8250676284941,73.4896302975654,68.8908926961226,71.7763751127141
"4059","Holothuria_fuscogilva",68.153980752406,72.0909886264217,65.8792650918635,73.840769903762,69.3788276465442,72.1784776902887
"4060","Holothuria_fuscopunctata",68.4014869888476,73.1412639405204,65.7063197026022,73.5130111524164,69.4237918215613,72.2118959107807
"4061","Holothuria_fuscorubra",77.731673582296,74.1355463347165,68.8796680497925,77.0401106500692,70.2627939142462,76.6251728907331
"4062","Holothuria_hamata",79.6019900497513,81.592039800995,70.6467661691542,82.5870646766169,73.8805970149254,80.8457711442786
"4063","Holothuria_hilla",69.6556205328135,69.7205977907732,67.5763482781027,71.9948018193632,68.9408706952567,71.6049382716049
"4064","Holothuria_impatiens",70.9230769230769,72.3076923076923,68.7692307692308,74.8461538461539,70.9230769230769,74.1538461538462
"4065","Holothuria_inhabilis",69.7551290536069,70.6816677696889,68.3653209794838,72.5347452018531,69.3580410324289,72.4685638649901
"4066","Holothuria_lessoni",68.1390977443609,73.3082706766917,65.5075187969925,73.4022556390977,69.3609022556391,72.0864661654135
"4067","Holothuria_leucospilota",71.017871017871,72.6495726495726,69.0753690753691,75.2913752913753,71.017871017871,74.5920745920746
"4068","Holothuria_martensii",58.0229226361031,68.6246418338109,63.1805157593123,68.7679083094556,65.9025787965616,67.0487106017192
"4069","Holothuria_nobilis",70.4495210022108,72.144436256448,68.9019896831245,74.6499631540162,70.3758290346352,73.7656595431098
"4070","Holothuria_ocellata",56.6265060240964,69.2771084337349,63.7048192771084,67.6204819277108,65.6626506024096,67.1686746987952
"4071","Holothuria_pardalis",69.1403834260977,69.3877551020408,67.7179962894249,71.4904143475572,68.3982683982684,70.8101422387137
"4072","Holothuria_pervicax",70.9132770529547,72.5249424405219,68.8411358403684,75.0575594781274,70.9900230237913,74.3668457405986
"4073","Holothuria_rigida",70.9275136399065,72.4084177708496,68.6671862821512,75.0584567420109,71.0833982852689,74.35697583788
"4074","Holothuria_scabra",67.3802242609582,72.2731906218145,65.6472986748216,73.0886850152905,68.3995922528033,70.4383282364934
"4075","Holothuria_verrucosa",75.3263707571802,76.5013054830287,68.0156657963446,76.8929503916449,70.6266318537859,77.4151436031332
"4076","Holtbyrnia_cyanocephala",52.6061776061776,52.4131274131274,55.984555984556,50.8687258687259,46.7181467181467,54.8262548262548
"4077","Holtbyrnia_innesi",58.9089760795769,52.7354543301492,59.6115891687061,56.2327307176127,55.380121575748,57.7169021867846
"4078","Homalacantha_anatomica",60.8521970705726,70.17310252996,64.0479360852197,70.9720372836218,67.6431424766977,68.5752330226365
"4079","Homalocantha_anomaliae",68.0068434559453,71.0863986313088,65.098374679213,70.7442258340462,66.1248930710009,69.8887938408896
"4080","Homalocantha_scorpio",68.1516587677725,72.8909952606635,65.3080568720379,73.3649289099526,69.2890995260664,71.8483412322275
"4081","Homola_orientalis",70.3166935050993,70.048309178744,68.9210950080515,71.7659688674181,67.4718196457327,72.0880300590446
"4082","Hoplichthys_citrinus",69.147582697201,69.7201017811705,68.5114503816794,69.5928753180662,66.2213740458015,71.0559796437659
"4083","Hoplichthys_filamentosus",62.1649484536082,70.2061855670103,66.1855670103093,71.4432989690722,66.9072164948454,72.8865979381443
"4084","Hoplichthys_gilberti",68.6613201727329,70.5737199259716,67.1190623072178,70.7587908698334,65.5151141270821,70.7587908698334
"4085","Hoplichthys_ogilbyi",61.0738255033557,75.1677852348993,60.4026845637584,81.8791946308725,72.4832214765101,81.2080536912752
"4086","Hoplichthys_regani",55.6254064600043,54.6824192499458,58.2050726208541,54.0429221764578,48.3849989161067,58.649468892261
"4087","Hoplobrotula_armata",59.4036697247706,67.3165137614679,65.9403669724771,67.8899082568807,64.7935779816514,67.8899082568807
"4088","Hoplodoris_nodulosa",78.6764705882353,72.7941176470588,70.5882352941177,80.8823529411765,72.0588235294118,76.4705882352941
"4089","Hoplolatilus_chlupatyi",58.9147286821705,68.9922480620155,63.2558139534884,68.8372093023256,66.2015503875969,66.5116279069767
"4090","Hoplolatilus_cuniculus",71.5867158671587,72.6937269372694,68.2656826568266,74.4464944649446,69.7416974169742,74.169741697417
