"","feature","EM_Percentile_tos_585","MM-NorESM2-MM_Percentile_tos_585","MM-IPSL-CM6A-LR_Percentile_tos_585","MM-GFDL-ESM4_Percentile_tos_585","MM-CMCC-ESM2_Percentile_tos_585","MM-CanESM5_Percentile_tos_585"
"60","Acanthurus_xanthopterus",68.9850958126331,72.7466288147622,76.153300212917,67.8495386799148,68.1334279630944,68.9850958126331
"61","Acar_domingensis",65.9240924092409,70.8745874587459,72.8547854785479,65.8415841584158,64.7689768976898,65.9240924092409
"62","Acar_plicata",68.7671232876712,72.3972602739726,76.3013698630137,67.6027397260274,68.2191780821918,68.7671232876712
"63","Acarnus_caledoniensis",49.3827160493827,85.1851851851852,86.4197530864197,91.358024691358,49.3827160493827,49.3827160493827
"64","Acartia_danae",69.7841726618705,82.7338129496403,64.7482014388489,78.7769784172662,66.9064748201439,69.7841726618705
"65","Acartia_negligens",100,100,100,100,100,100
"66","Acasta_conica",62.1931260229133,72.3404255319149,67.2667757774141,62.847790507365,63.1751227495908,62.1931260229133
"67","Acasta_cyathus",71.2918660287081,74.7778537252221,77.3069036226931,70.6083390293917,70.3349282296651,71.2918660287081
"68","Acasta_echinata",60.3518267929635,65.8998646820027,68.7415426251691,54.9391069012179,59.404600811908,60.3518267929635
"69","Acasta_fenestrata",61.9047619047619,69.0476190476191,72.9437229437229,61.5800865800866,62.3376623376623,61.9047619047619
"70","Acasta_japonica",57.9696394686907,61.9544592030361,69.9240986717268,53.3206831119545,57.8747628083491,57.9696394686907
"71","Acasta_purpurata",59.2165898617512,73.5023041474654,74.1935483870968,64.0552995391705,62.9032258064516,59.2165898617512
"72","Acaudina_molpadioides",58.9485458612975,64.2058165548098,68.5682326621924,55.4809843400447,58.5011185682327,58.9485458612975
"73","Accalathura_themeda",74.8663101604278,91.4438502673797,88.2352941176471,87.1657754010695,68.4491978609626,74.8663101604278
"74","Acentrogobius_janthinopterus",60.3592814371257,66.8263473053892,74.0119760479042,59.0419161676647,61.3173652694611,60.3592814371257
"75","Acentrogobius_moloanus",59.4327990135635,66.8310727496917,73.3662145499383,59.0628853267571,60.9124537607892,59.4327990135635
"76","Acentrogobius_nebulosus",57.7291381668947,64.4322845417237,70.5882352941177,54.7195622435021,58.6867305061559,57.7291381668947
"77","Acentrogobius_suluensis",61.2857142857143,67.2857142857143,75.1428571428571,57.8571428571429,61.7142857142857,61.2857142857143
"78","Acentronura_breviperula",63.6182902584493,70.8747514910537,74.155069582505,63.6182902584493,63.9165009940358,63.6182902584493
"79","Acesta_rathbuni",60.1092896174863,64.8087431693989,69.6174863387978,55.1912568306011,58.1420765027322,60.1092896174863
"80","Achaeus_curvirostris",58.0779944289694,63.5097493036212,70.3342618384401,53.0640668523677,57.6601671309192,58.0779944289694
"81","Achaeus_lacertosus",59.4182825484765,66.7590027700831,73.6842105263158,57.8947368421053,59.8337950138504,59.4182825484765
"82","Achelia_assimilis",62.862669245648,68.214055448098,75.5641521598968,62.0245003223727,63.6363636363636,62.862669245648
"83","Achelia_besnardi",64.3956043956044,70.4395604395604,75.1648351648352,62.0879120879121,64.8351648351648,64.3956043956044
"84","Achelia_nana",62.1259842519685,68.9763779527559,73.5433070866142,62.5196850393701,59.9212598425197,62.1259842519685
"85","Achelia_sawayai",69.1114245416079,72.919605077574,76.6572637517631,68.2651622002821,68.4062059238364,69.1114245416079
"86","Aciculites_orientalis",74.2404227212682,79.3923381770145,80.449141347424,80.449141347424,69.4848084544254,74.2404227212682
"87","Aciculites_tulearensis",59.5070422535211,65.7276995305164,69.8356807511737,56.3380281690141,59.7417840375587,59.5070422535211
