"","feature","EM_Penalty_CombinedMetric_585","EM_Penalty_MHW_585","EM_Penalty_velocity_585","EM_Penalty_o2os_585","EM_Penalty_phos_585","EM_Penalty_tos_585"
"710","Arnoglossus_japonicus",42.5705329153605,48.5266457680251,45.141065830721,44.7021943573668,46.833855799373,42.9467084639498
"711","Arnoglossus_macrolophus",41.1803713527851,48.4084880636605,44.6949602122016,43.8328912466844,45.8885941644562,42.3076923076923
"712","Arnoglossus_polyspilus",41.6895227646736,46.4618760285244,43.993417443774,43.3900164563906,44.8710916072408,40.9764125068568
"713","Arnoglossus_tenuis",44.2279942279942,50.6493506493506,46.969696969697,46.031746031746,48.3405483405483,44.5887445887446
"714","Arnoglossus_waitei",47.6964769647696,47.0189701897019,40.2439024390244,40.650406504065,45.1219512195122,37.5338753387534
"715","Arothron_caeruleopunctatus",43.8506588579795,48.2430453879941,45.1683748169839,44.5095168374817,47.510980966325,42.5329428989751
"716","Arothron_firmamentum",48.5714285714286,71.4285714285714,37.1428571428571,71.4285714285714,48.5714285714286,71.4285714285714
"717","Arothron_hispidus",43.6627906976744,49.8837209302326,46.6860465116279,46.7441860465116,47.6162790697674,43.8372093023256
"718","Arothron_manilensis",45.3382084095064,50.6398537477148,44.7897623400366,43.0530164533821,49.0859232175503,41.8647166361974
"719","Arothron_mappa",44.2138364779874,52.0754716981132,47.5471698113208,47.1698113207547,47.9245283018868,44.2138364779874
"720","Arothron_meleagris",43.6919716002185,49.8634625887493,46.3134898962316,46.9142545057346,46.4227198252321,44.401966138722
"721","Arothron_nigropunctatus",46.2450592885375,48.4189723320158,45.8498023715415,45.5204216073781,47.6284584980237,43.3465085638999
"722","Arothron_reticularis",45.4225352112676,50.7922535211268,45.4225352112676,43.5739436619718,48.3274647887324,42.693661971831
"723","Arothron_stellatus",42.6966292134831,49.9704316972206,46.2448255470136,45.8308693081017,46.836191602602,43.7019515079834
"724","Arthropoma_cecilii",43.9957492029756,51.5409139213603,46.7056323060574,48.2996811902232,46.4930924548353,44.845908607864
"725","Asaphis_dichotoma",43.9404677533664,47.4840538625089,45.2161587526577,44.9326718639263,47.1296952515946,42.5939050318923
"726","Asaphis_violascens",44.4641799881587,50.9177027827117,47.1284783895796,47.5429248075784,47.7205447010065,44.5233866193014
"727","Ascalista_polita",49.480415667466,49.8001598721023,46.5227817745803,47.4820143884892,49.480415667466,43.7250199840128
"728","Ascaltis_grisea",65.7657657657658,46.8468468468468,36.9369369369369,35.1351351351351,62.1621621621622,36.036036036036
"729","Ascaltis_lamarcki",58.5339168490153,57.0021881838074,54.1575492341357,52.6258205689278,52.1881838074398,50
"730","Ascidia_archaia",46.0037759597231,52.4229074889868,47.765890497168,48.0176211453744,48.1434864694777,44.4933920704846
"731","Ascidia_capillata",46.6522678185745,50.1079913606911,44.060475161987,43.6285097192225,48.7041036717063,39.7408207343413
"732","Ascidia_decepta",60,71.1111111111111,57.7777777777778,55.5555555555556,68.8888888888889,51.1111111111111
"733","Ascidia_gemmata",44.8955223880597,51.044776119403,47.4626865671642,47.7014925373134,48,44.7761194029851
"734","Ascidia_glabra",56.25,64.0625,43.75,46.875,60.9375,40.625
"735","Ascidia_ornata",55.8024691358025,44.6913580246914,43.7037037037037,52.8395061728395,52.0987654320988,53.8271604938272
"736","Ascidia_sydneiensis",42.8801719505642,50.3492745835572,46.749059645352,47.6625470177324,45.8355722729715,44.6534121440086
"737","Ascidia_tapuni",50.3926701570681,52.3560209424084,56.8062827225131,51.0471204188482,47.9057591623037,52.7486910994764
"738","Ascobulla_fischeri",44.7572815533981,49.9029126213592,44.5631067961165,43.2038834951456,49.4174757281553,41.4563106796117
"739","Ascorhynchus_cactoides",48.3766233766234,47.9437229437229,53.4632034632035,50.5411255411255,52.9220779220779,49.5670995670996
"740","Ascorhynchus_miniscapus",30.14440433213,30.14440433213,30.14440433213,30.14440433213,30.14440433213,30.14440433213
"741","Ascorhynchus_minutus",62.5258799171843,54.0372670807453,48.8612836438923,48.6542443064182,56.7287784679089,43.8923395445135
"742","Ascorhynchus_okai",41.6562107904642,46.8632371392723,43.1618569636136,44.228356336261,44.4792973651192,41.2797992471769
"743","Ascorhynchus_ornatus",44.6808510638298,72.3404255319149,53.1914893617021,55.3191489361702,61.7021276595745,53.1914893617021
"744","Ascorhynchus_orthorhynchus",48.2456140350877,48.3625730994152,46.3742690058479,46.6666666666667,48.8888888888889,44.6198830409357
"745","Ascorhynchus_pyrginospinum",100,100,100,100,100,50
"746","Aseraggodes_cyclurus",37.3376623376623,73.7012987012987,69.4805194805195,67.2077922077922,44.8051948051948,60.3896103896104
"747","Aseraggodes_kaianus",43.9205955334988,52.3573200992556,45.0785773366418,42.1009098428453,48.7179487179487,40.6947890818859
"748","Aseraggodes_longipinnis",52.75,46.5,38.25,36.75,44.75,37
"749","Aseraggodes_magnoculus",66.3265306122449,45.9183673469388,35.7142857142857,32.6530612244898,61.2244897959184,31.6326530612245
"750","Aseraggodes_melanostictus",46.3833634719711,45.6600361663653,43.3092224231465,44.7558770343581,46.745027124774,41.500904159132
"751","Aseraggodes_ramsaii",64.1975308641975,56.1728395061728,40.7407407407407,47.5308641975309,64.8148148148148,45.679012345679
"752","Aseraggodes_whitakeri",56.418383518225,55.1505546751189,52.29793977813,57.3692551505547,58.161648177496,55.9429477020602
"753","Ashtoret_lunaris",42.2396856581532,47.2495088408644,42.9273084479371,41.3555992141454,46.9548133595285,38.9980353634578
"754","Ashtoret_picta",45.3602305475504,51.1815561959654,46.8011527377522,48.0115273775216,46.7435158501441,44.3227665706052
"755","Asparagopsis_taxiformis",45.1557093425605,50.9227220299885,47.0588235294118,47.8662053056517,47.7508650519031,44.7520184544406
"756","Aspella_media",42.684331797235,47.0622119815668,43.4331797235023,43.5483870967742,46.3709677419355,40.4953917050691
"757","Aspidontus_dussumieri",45.4490291262136,51.8810679611651,47.5121359223301,48.3009708737864,47.6941747572816,44.7815533980583
"758","Aspidontus_taeniatus",44.5503275759381,50.8040500297796,47.3496128648005,47.4091721262656,47.8260869565217,44.6098868374032
"759","Aspidosiphon_coyi",45.1117318435754,48.2541899441341,45.4608938547486,45.6703910614525,47.3463687150838,43.7150837988827
"760","Aspidosiphon_elegans",45.5621301775148,51.7751479289941,47.5147928994083,48.1656804733728,47.7514792899408,44.9112426035503
"761","Aspidosiphon_laevis",44.8571428571429,50.6857142857143,47.1428571428571,47.7714285714286,47.2571428571429,44.6285714285714
"762","Aspidosiphon_muelleri",40.4729214340198,43.7986270022883,40.0152555301297,40.9153318077803,39.9237223493516,38.977879481312
"763","Aspidosiphon_parvulus",44.7435897435897,55.6410256410256,46.025641025641,46.7948717948718,49.1025641025641,43.974358974359
"764","Aspidosiphon_spiralis",44.8660714285714,49.6279761904762,46.3541666666667,44.4940476190476,46.7261904761905,43.3779761904762
"765","Aspidosiphon_steenstrupii",43.1275720164609,54.8148148148148,49.0534979423868,48.724279835391,46.8312757201646,46.3374485596708
"766","Aspidosiphon_tenuis",46.8110709987966,51.0228640192539,46.8712394705175,48.7364620938628,48.014440433213,44.9458483754513
"767","Asquamiceps_velaris",37.2181217632427,33.1688618847612,35.3341760795987,35.1139746360559,42.2338213106064,33.1974065163316
