"","feature","EM-Percentile-tos-585","EM-Percentile-tos-245","EM-Percentile-tos-126"
"4952","Mesoplodon_densirostris",58.2852130692201,54.8571010891017,54.0969227395658
"4953","Mesoplodon_ginkgodens",44.0003330835207,44.241818636023,42.6097093846282
"4954","Mesoplodon_hectori",49.4949494949495,79.7979797979798,71.7171717171717
"4955","Mesoplodon_layardii",60.1503759398496,84.9624060150376,77.4436090225564
"4956","Mesopontonia_gorgoniophila",75.0483558994197,71.9535783365571,77.5628626692456
"4957","Mesopristes_argenteus",57.8296703296703,54.3956043956044,61.2637362637363
"4958","Mesopristes_cancellatus",57.6470588235294,53.9495798319328,61.3445378151261
"4959","Mesosagitta_minima",67.1803652968037,61.7009132420091,66.7808219178082
"4960","Mespilia_globulus",65.3528872593951,61.044912923923,66.4527956003666
"4961","Metacirolana_basteni",63.1578947368421,55.7894736842105,75.7894736842105
"4962","Metacirolana_nana",63.1578947368421,55.7894736842105,75.7894736842105
"4963","Metacrinus_musorstomae",64.6167557932264,57.843137254902,65.6862745098039
"4964","Metadromia_wilsoni",76.4075067024129,68.6327077747989,79.3565683646113
"4965","Metalia_dicrana",69.1153238546603,65.7977883096366,68.4834123222749
"4966","Metalia_spatagus",69.7691197691198,66.3059163059163,69.7691197691198
"4967","Metalia_sternalis",66.307541625857,62.4877571008815,67.5808031341822
"4968","Metalpheus_paragracilis",69.8099415204678,67.1052631578947,69.4444444444444
"4969","Metalpheus_rostratipes",70.34677990092,67.3743807501769,69.7098372257608
"4970","Metanachis_marquesa",68.8856729377713,67.0043415340087,71.3458755426917
"4971","Metapenaeopsis_aegyptia",65.3061224489796,61.4100185528757,65.8627087198516
"4972","Metapenaeopsis_andamanensis",61.1661166116612,54.1254125412541,62.1562156215622
"4973","Metapenaeopsis_barbata",65.8119658119658,63.6752136752137,73.0769230769231
"4974","Metapenaeopsis_borradailei",57.9967689822294,52.5040387722132,61.2277867528271
"4975","Metapenaeopsis_ceylonica",65.237651444548,61.2301957129543,65.9832246039143
"4976","Metapenaeopsis_commensalis",69.4380292532718,66.5896843725943,68.9761354888376
"4977","Metapenaeopsis_difficilis",71.663504111322,66.9829222011385,70.9044908285895
"4978","Metapenaeopsis_distincta",68.3870967741936,66.3225806451613,70.3225806451613
"4979","Metapenaeopsis_evermanni",77.4535809018568,73.474801061008,78.1167108753316
"4980","Metapenaeopsis_fusca",58.1041968162084,50,57.0911722141823
"4981","Metapenaeopsis_gaillardi",67.7502138579983,64.2429426860565,68.0923866552609
"4982","Metapenaeopsis_gallensis",64.5631067961165,60.6796116504854,66.0194174757282
"4983","Metapenaeopsis_hilarula",69.4667640613587,65.9605551497443,69.8319941563185
