"","feature","EM_ClimatePriorityArea_tos_585","EM_Penalty_tos_585","EM_Feature_tos_585","EM_Percentile_tos_585"
"83","Achelia_besnardi",71.3186813186813,44.3956043956044,53.8461538461538,66.4835164835165
"84","Achelia_nana",65.6692913385827,41.1023622047244,52.5196850393701,63.6220472440945
"85","Achelia_sawayai",75.1763046544429,45.5571227080395,62.0592383638928,70.7334273624824
"86","Aciculites_orientalis",69.6169088507266,50.5944517833554,55.0858652575958,77.5429326287979
"87","Aciculites_tulearensis",69.6009389671361,40.7276995305164,54.2253521126761,60.6807511737089
"88","Acoetes_pacifica",95.1851851851852,58.1481481481482,94.4444444444444,90.7407407407407
"89","Acreichthys_radiatus",70.1236917221694,43.9581351094196,53.5680304471932,65.9372026641294
"90","Acreichthys_tomentosus",71.5174129353234,42.4129353233831,51.6169154228856,63.18407960199
"91","Acrocalanus_gibber",66.3887107119949,40.0898011545863,54.265554842848,61.1289288005132
"92","Acropoma_japonicum",68.2926829268293,39.0243902439024,52.8101802757158,59.3849416755037
"93","Acropoma_lecorneti",46.6584158415842,41.460396039604,47.1534653465347,67.8217821782178
"94","Acropora_abrotanoides",74.921875,45.625,60.78125,70.15625
"95","Acropora_aculeus",70.9090909090909,43.6363636363636,54.1818181818182,66.1818181818182
"96","Acropora_anthocercis",70.377541142304,43.6592449177154,54.1142303969022,65.8276863504356
"97","Acropora_aspera",71.1487088156723,43.5440783615316,55.120213713268,66.2511130899377
"98","Acropora_austera",74.7063429913861,44.7924823805795,59.592795614722,70.007830853563
"99","Acropora_carduus",73.4577922077922,45.6168831168831,60.3084415584416,69.5616883116883
"100","Acropora_cerealis",71.6192170818505,44.2170818505338,55.1601423487544,67.4377224199288
"101","Acropora_chesterfieldensis",66.3540445486518,48.5345838218054,51.4654161781946,67.5263774912075
"102","Acropora_clathrata",73.9024390243902,45.4471544715447,59.8373983739837,69.4308943089431
"103","Acropora_cytherea",74.9025720966485,45.6742010911925,61.0288386593921,70.2260327357755
"104","Acropora_danai",74.7333880229696,45.3650533223954,60.2132895816243,70.7136997538966
"105","Acropora_dendrum",69.8294243070362,41.7910447761194,51.0660980810235,63.3262260127932
