"","feature","MM-NorESM2-MM_Percentile_MHW_SumCumInt_585","MM-IPSL-CM6A-LR_Percentile_MHW_SumCumInt_585","MM-GFDL-ESM4_Percentile_MHW_SumCumInt_585","MM-CMCC-ESM2_Percentile_MHW_SumCumInt_585","MM-CanESM5_Percentile_MHW_SumCumInt_585","EM_Percentile_MHW_SumCumInt_585"
"6826","Protocirrineris_chrysoderma",65.3045489591365,75.4818812644564,80.7247494217425,79.568234387047,73.3230531996916,70.8558211256746
"6827","Protodorvillea_kefersteini",93.167701863354,98.1366459627329,98.7577639751553,97.5155279503106,98.1366459627329,96.8944099378882
"6828","Protogrammus_antipodus",70.3947368421053,86.8421052631579,84.2105263157895,91.4473684210526,63.8157894736842,74.3421052631579
"6829","Protoplesius_enigma",59.3162393162393,72.6495726495726,79.7008547008547,77.991452991453,69.3162393162393,70.7264957264957
"6830","Protoreaster_nodosus",70.253164556962,72.1518987341772,81.5189873417722,78.4810126582278,74.6835443037975,69.1139240506329
"6831","Psammocinia_bulbosa",75.4010695187166,90.9090909090909,87.1657754010695,91.9786096256685,75.4010695187166,82.8877005347594
"6832","Psammocora_albopicta",69.5104895104895,70.0699300699301,81.8181818181818,77.3426573426573,73.4265734265734,67.4125874125874
"6833","Psammocora_contigua",70.4361873990307,78.513731825525,83.9256865912762,82.6332794830372,78.8368336025848,75.2827140549273
"6834","Psammocora_digitata",71.3801862828112,78.7468247248095,84.0812870448772,82.8111769686706,79.1701947502117,74.6824724809483
"6835","Psammocora_explanulata",69.6945337620579,79.2604501607717,83.9228295819936,82.475884244373,78.1350482315112,74.5980707395498
"6836","Psammocora_haimeana",69.0493209435311,78.9135096497498,83.1308077197999,82.0586132952109,77.3409578270193,74.9821300929235
"6837","Psammocora_nierstraszi",69.9149265274555,80.4331013147718,84.6094354215004,83.1399845320959,78.2675947409126,76.1020881670534
"6838","Psammocora_obtusangula",70.5882352941177,79.656862745098,84.8856209150327,83.7418300653595,79.1666666666667,76.3888888888889
"6839","Psammocora_profundacella",69.969040247678,78.7925696594427,83.7461300309597,82.4303405572755,77.8637770897833,75
"6840","Psammocora_superficialis",70.0471698113208,78.6163522012579,83.5691823899371,82.311320754717,78.1446540880503,74.8427672955975
"6841","Psammodiscus_ocellatus",69.094304388422,73.015873015873,82.7264239028945,78.4313725490196,73.9495798319328,70.8683473389356
"6842","Psammogobius_biocellatus",75.2781211372064,74.9072929542645,84.7960444993819,81.3349814585908,79.2336217552534,74.4128553770087
"6843","Psaumis_cavipes",70.5741626794258,80.5422647527911,84.6092503987241,82.9346092503987,78.2296650717703,76.0765550239234
"6844","Psenes_arafurensis",49.7474747474747,51.5221661054994,54.3455387205387,54.5735129068462,52.5182379349046,52.0903479236813
"6845","Psenes_cyanophrys",48.3515784114053,52.0843940936864,54.636583503055,55.0661914460285,52.8767820773931,52.2976069246436
"6846","Psenes_maculatus",45.9996068409672,59.740515038333,47.5329270689994,55.6123451936308,70.5917043444073,55.4354236288579
"6847","Psenopsis_humerosa",44.8127215250503,38.557333077881,48.0314206341604,44.017626209407,38.6435482325893,40.6073378676118
"6848","Psenopsis_obscura",68.3284457478006,72.8005865102639,83.0645161290323,81.8181818181818,74.9266862170088,72.8005865102639
