"","feature","EM-Percentile-tos-585","EM-Percentile-tos-245","EM-Percentile-tos-126"
"4896","Megaentalina_cornucopiae",60.6366047745358,47.7453580901857,61.4323607427056
"4897","Megaentalina_mediocarinata",65.1452282157676,57.4170124481328,67.1161825726141
"4898","Megalasma_striatum",63.9541547277937,55.702005730659,68.2521489971347
"4899","Megalocercus_huxleyi",62.7408993576017,57.1734475374732,67.0235546038544
"4900","Megalocranchia_oceanica",64.6727946220332,71.4364110303197,60.2277404307861
"4901","Megalomma_vesiculosum",68.2721712538226,63.914373088685,70.4128440366973
"4902","Megalops_cyprinoides",66.3928304705004,61.0156833457804,69.4548170276326
"4903","Megaptera_novaeangliae",57.7430017992385,52.6800284530733,55.044144106448
"4904","Megatrema_anglicum",62.4083769633508,58.0104712041885,66.7015706806283
"4905","Megatrygon_microps",59.6064814814815,53.4722222222222,64.0046296296296
"4906","Megerlia_truncata",87.9120879120879,91.5750915750916,91.9413919413919
"4907","Meiacanthus_anema",56.7251461988304,51.6081871345029,62.5730994152047
"4908","Meiacanthus_atrodorsalis",65.7822506861848,60.0182982616651,68.0695333943275
"4909","Meiacanthus_bundoon",80.4154302670623,78.9317507418398,75.3709198813056
"4910","Meiacanthus_ditrema",66.2452591656131,62.7054361567636,72.4399494310999
"4911","Meiacanthus_phaeus",75.3086419753086,73.6625514403292,74.4855967078189
"4912","Meiacanthus_reticulatus",61.0687022900763,57.5063613231552,66.1577608142494
"4913","Meiocardia_moltkiana",63.9080459770115,57.2413793103448,67.816091954023
"4914","Melamphaes_acanthomus",39.4842598794374,48.1245813797723,42.5653047555258
"4915","Melamphaes_danae",56.3197353137869,51.4976593572912,52.7506951532857
"4916","Melamphaes_eulepis",49.3695678785653,43.4630921777451,48.2433590402742
"4917","Melamphaes_indicus",57.3284289359446,52.3875799449912,53.6766411505451
"4918","Melamphaes_janae",68.2941176470588,62.2941176470588,70.5882352941177
"4919","Melamphaes_longivelis",59.8436199310263,55.4049232964681,56.4662861220121
"4920","Melamphaes_polylepis",57.7087302108651,52.7031465545556,53.9578269723445
"4921","Melamphaes_simus",62.3808026825946,59.4781515246778,63.418212302211
"4922","Melampus_albus",66.8789808917197,61.1464968152866,73.2484076433121
"4923","Melampus_fasciatus",57.5846833578792,53.4609720176731,64.359351988218
"4924","Melanamansia_glomerata",65.2930402930403,59.7069597069597,67.948717948718
"4925","Melanella_acicula",68.7144482366325,63.1399317406143,71.6723549488055
"4926","Melanella_cumingii",69.0620272314675,64.5990922844176,71.2556732223903
"4927","Melanocetus_johnsonii",57.6138457488813,52.609239273493,53.8661489865754
"4928","Melanocetus_murrayi",59.4467248655836,56.001040642886,57.3827831415853
"4929","Melanolagus_bericoides",61.4912094895149,56.856598178352,61.9995763609405
"4930","Melanostomias_bartonbeani",61.8345618345618,58.0944580944581,71.3895713895714
"4931","Melanostomias_paucilaternatus",52.9213596138375,42.9907481898632,50.5480691874497
