"","feature","EM_Penalty_tos_585","EM_ClimatePriorityArea_tos_585","EM_Percentile_tos_585","EM_Feature_tos_585"
"2894","Eledone_palari",40.8602150537634,38.0479735318445,59.4706368899917,37.8825475599669
"2895","Eleotris_acanthopoma",42.8908091123331,38.5703063629222,64.5718774548311,43.3621366849961
"2896","Eleotris_fusca",44.7779862414009,38.0237648530331,69.4183864915572,48.4677923702314
"2897","Eleotris_melanosoma",43.1947069943289,39.2249527410208,62.6654064272212,43.5727788279773
"2898","Eleutherochir_opercularis",40.9321175278622,38.9057750759878,61.6008105369808,41.8439716312057
"2899","Ellobium_aurisjudae",38.622754491018,39.0718562874251,58.3832335329341,42.814371257485
"2900","Ellochelon_vaigiensis",44.4591029023747,37.664907651715,67.8759894459103,47.4274406332454
"2901","Elops_hawaiensis",44.242029928432,38.1912817176317,67.4040338321405,47.4300585556278
"2902","Elops_machnata",41.044776119403,38.0022962112514,65.6142365097589,42.9965556831228
"2903","Elops_saurus",39.8483572030329,36.9839932603201,64.1112047177759,40.9435551811289
"2904","Elphidium_articulatum",50,50,100,50
"2905","Elysia_ornata",45.0853443201883,37.6103590347263,69.6291936433196,48.204826368452
"2906","Elysia_tomentosa",41.9030192131747,39.5242451967063,61.2076852698994,43.0009149130833
"2907","Emarginula_maculata",41.4161008729389,38.894277400582,61.6876818622696,41.4161008729389
"2908","Ematops_randalli",41.8181818181818,34.6411483253588,64.2105263157895,40
"2909","Embletonia_gracilis",43.8089950027762,37.3681288173237,68.517490283176,46.7518045530261
"2910","Emmelichthys_karnellai",49.1228070175439,39.766081871345,77.7777777777778,54.9707602339181
"2911","Emmelichthys_struhsakeri",44.8291782086796,36.5189289012004,69.9907663896583,45.7063711911357
"2912","Emydocephalus_annulatus",43.6392914653784,37.1175523349436,64.0096618357488,42.3510466988728
"2913","Encheliophis_boraborensis",44.4041450777202,36.6321243523316,70.2590673575129,47.2020725388601
"2914","Encheliophis_gracilis",44.593837535014,36.9187675070028,69.9159663865546,47.7310924369748
"2915","Encheliophis_homei",44.5404071560765,36.2739049969155,68.7847008019741,46.8229487970389
"2916","Encheliophis_vermicularis",45.4303460514641,38.243123336291,66.9032830523514,50.2218278615794
"2917","Enchelycore_bayeri",43.4812760055478,36.2690707350902,67.2676837725381,43.4119278779473
"2918","Enchelycore_nigricans",42.5353925353925,37.6447876447876,66.4092664092664,43.1145431145431
"2919","Enchelycore_pardalis",44.6368715083799,36.7597765363128,69.9441340782123,47.6536312849162
"2920","Enchelycore_schismatorhynchus",43.1526390870185,36.8758915834522,68.830242510699,47.0042796005706
"2921","Enchelynassa_canina",43.9441978440076,37.7298668357641,68.2942295497781,45.3392517438174
"2922","Enchelyurus_ater",52.4504692387904,38.1647549530761,73.8269030239833,52.8675703858186
"2923","Enchelyurus_kraussii",45.0686641697878,36.5168539325843,68.976279650437,46.8789013732834
"2924","Encrasicholina_devisi",43.906510851419,38.9816360601002,63.1886477462437,43.906510851419
"2925","Encrasicholina_heteroloba",41.722972972973,39.527027027027,62.5,43.4121621621622
"2926","Endeis_biseriata",44.280205655527,37.3393316195373,68.4447300771208,46.5295629820051
"2927","Endeis_flaccida",43.4748427672956,36.0849056603774,63.9150943396226,41.4308176100629
"2928","Endeis_meridionalis",41.6494845360825,35.6701030927835,66.7353951890034,40.0687285223368
"2929","Endeis_mollis",42.4870466321244,37.1761658031088,66.3212435233161,43.0699481865285
"2930","Endeis_nodosa",41.6243654822335,36.7738296672307,67.005076142132,42.2447828539199
"2931","Endopachys_grayi",43.5250116877045,36.8863955119215,69.4717157550257,45.6755493221131
"2932","Engina_alveolata",41.8326693227092,38.0478087649402,61.2549800796813,40.7370517928287
"2933","Engina_concinna",42.6914153132251,36.4269141531323,64.3464810518175,40.7579273008507
"2934","Engina_incarnata",41.7994376757263,38.5192127460169,61.2933458294283,41.7057169634489
"2935","Engina_lineata",43.1982633863965,37.3371924746744,65.7742402315485,42.3299565846599
"2936","Engina_mendicaria",43.6754176610979,37.4701670644391,65.0755767700875,42.1638822593477
"2937","Engina_menkeana",43.8087105038429,37.1477369769428,63.4500426985482,42.6985482493595
"2938","Engina_phasinola",39.2273402674591,31.9465081723626,74.5418524021793,41.4066369489846
"2939","Engina_siderea",37.6709573612228,32.2204344328238,69.4991954947707,44.9316170555109
"2940","Engina_zonalis",43.1516936671576,37.5552282768778,65.3902798232695,42.2680412371134
"2941","Engyprosopon_annulatus",50.3311258278146,40.1766004415011,80.1324503311258,47.9028697571744
"2942","Engyprosopon_bellonaensis",50.9756097560976,39.2682926829268,77.8048780487805,46.5853658536585
"2943","Engyprosopon_grandisquama",38.5,39,61.4166666666667,42.4166666666667
"2944","Engyprosopon_hureaui",52.7272727272727,38.7272727272727,70.9090909090909,45.6363636363636
"2945","Engyprosopon_longipterum",57.2429906542056,41.1214953271028,77.1028037383178,49.2990654205608
"2946","Engyprosopon_macrolepis",42.3521414004079,35.8939496940857,66.0095173351462,40.7885791978246
"2947","Engyprosopon_maldivensis",38.3347788378144,38.0745880312229,61.4917606244579,41.8039895923677
"2948","Engyprosopon_mogkii",40.7228915662651,37.4096385542169,65.9638554216867,42.2289156626506
"2949","Engyprosopon_septempes",55.2204176334107,42.2273781902552,79.1183294663573,48.7238979118329
"2950","Engyprosopon_xystrias",40.6880189798339,36.417556346382,65.6583629893238,41.1625148279953
"2951","Enida_japonica",39.5618556701031,36.5979381443299,60.0515463917526,42.2680412371134
"2952","Enneapterygius_atrogulare",47.0588235294118,47.0588235294118,82.3529411764706,35.2941176470588
"2953","Enneapterygius_bahasa",42.653606411398,38.0231522707035,62.2439893143366,42.7426536064114
"2954","Enneapterygius_clea",66.5789473684211,41.0526315789474,72.1052631578947,47.1052631578947
"2955","Enneapterygius_flavoccipitis",42.9752066115703,38.0165289256198,66.1845730027548,43.1818181818182
"2956","Enneapterygius_fuscoventer",44.2809364548495,36.1872909698997,68.494983277592,46.5551839464883
"2957","Enneapterygius_gracilis",39.7417503586801,36.8723098995696,65.8536585365854,39.167862266858
"2958","Enneapterygius_hemimelas",37.1456500488759,34.7018572825024,61.7790811339198,37.0478983382209
"2959","Enneapterygius_larsonae",40.6889128094725,37.7825618945102,60.0645855758881,40.043057050592
"2960","Enneapterygius_minutus",43.9759036144578,37.1234939759036,67.8463855421687,43.2981927710843
"2961","Enneapterygius_mirabilis",42.3133235724744,36.1639824304539,65.2269399707174,41.2152269399707
"2962","Enneapterygius_niger",53.6959553695955,38.6331938633194,74.3375174337517,45.8856345885635
"2963","Enneapterygius_nigricauda",45.5205811138014,37.227602905569,69.4915254237288,47.8208232445521
"2964","Enneapterygius_pallidoserialis",43.4102141680395,38.3031301482702,65.0741350906096,43.8220757825371
"2965","Enneapterygius_paucifasciatus",31.3131313131313,31.3131313131313,36.3636363636364,33.3333333333333
"2966","Enneapterygius_philippinus",43.9620081411126,38.1275440976934,67.3677069199457,44.1655359565807
"2967","Enneapterygius_pyramis",55.1551551551552,38.4384384384384,77.5775775775776,55.6556556556557
"2968","Enneapterygius_rhabdotus",45.7424349049965,36.5939479239972,70.3729767769177,46.6572836030964
"2969","Enneapterygius_rhothion",50.7042253521127,36.6197183098592,70.7746478873239,48.5915492957746
"2970","Enneapterygius_rubicauda",42.9505813953488,37.5,65.9883720930232,42.3691860465116
"2971","Enneapterygius_rufopileus",57.0291777188329,37.6657824933687,77.0557029177719,56.631299734748
"2972","Enneapterygius_signicauda",43.7005039596832,37.0050395968322,64.8668106551476,43.5565154787617
"2973","Enneapterygius_triserialis",55.0576184379001,38.9244558258643,79.2573623559539,57.8745198463508
"2974","Enneapterygius_tutuilae",44.3670150987224,36.9337979094077,69.4541231126597,47.212543554007
"2975","Enneapterygius_unimaculatus",41.6326530612245,39.3877551020408,62.0408163265306,41.6326530612245
"2976","Enneapterygius_williamsi",53.0864197530864,38.8888888888889,78.5493827160494,49.3827160493827
"2977","Enoplometopus_crosnieri",44.1980402269211,36.5136668385766,69.6750902527076,46.2609592573491
"2978","Enoplometopus_gracilipes",53.6585365853659,41.3199426111908,81.0616929698709,63.4146341463415
"2979","Enoplometopus_holthuisi",51.9575856443719,36.2969004893964,74.7960848287113,49.673735725938
"2980","Enoplometopus_occidentalis",43.8585209003215,37.8778135048232,67.7813504823151,44.5016077170418
"2981","Enoploteuthis_reticulata",48.7617421007686,35.6105892399658,73.6122971818958,49.0179333902647
"2982","Entacmaea_quadricolor",39.177657098526,38.6346004654771,61.2878200155159,42.1256788207913
"2983","Entalina_dorsicostata",45.9912536443149,34.9854227405248,71.2827988338192,40.7434402332362
"2984","Entalina_mirifica",40.4234204432683,33.9728746278531,67.0195170360569,35.8914985114125
"2985","Entalinopsis_intercostata",37.3469387755102,35.7142857142857,57.1428571428571,38.2993197278912
"2986","Entalinopsis_stellata",41.7965169569203,34.8762603116407,65.9028414298808,38.7717690192484
"2987","Entomacrodus_caudofasciatus",45.9696727853152,38.0686352753392,67.438148443735,49.0023942537909
"2988","Entomacrodus_decussatus",45.196003074558,38.3551114527287,67.4096848578017,49.500384319754
"2989","Entomacrodus_epalzeocheilos",45.3253552729993,38.8182498130142,67.6140613313388,49.887808526552
"2990","Entomacrodus_niuafoouensis",45.3107344632768,38.8135593220339,70.1129943502825,49.4915254237288
"2991","Entomacrodus_sealei",51.5942028985507,39.2270531400966,71.7874396135266,53.1400966183575
"2992","Entomacrodus_striatus",45.9191456903127,38.0625476735317,67.0480549199085,49.2753623188406
"2993","Entomacrodus_thalassinus",44.8853068815871,37.5697458152511,69.3738375697458,48.171109733416
"2994","Entophilus_omnitectus",49.1906474820144,38.2194244604317,76.5287769784173,51.2589928057554
"2995","Epibulus_brevis",42.69889224572,37.5629405840886,62.4370594159114,41.4904330312185
"2996","Epibulus_insidiator",44.815668202765,37.3271889400922,69.6428571428571,47.926267281106
"2997","Epicodakia_nodulosa",44.8337825696316,37.0170709793351,65.6783468104223,40.7906558849955
"2998","Epicodakia_sweeti",45.1612903225806,37.0967741935484,70.1075268817204,47.5806451612903
"2999","Epigonichthys_lucayanum",39.3732970027248,36.9891008174387,56.6757493188011,38.4196185286104
"3000","Epigonichthys_maldivensis",55,47.2727272727273,70.9090909090909,49.5454545454545
"3001","Epigonus_atherinoides",41.02096627165,34.457611668186,68.4898207231845,44.1507140686721
"3002","Epigonus_pectinifer",47.3684210526316,52.6315789473684,68.4210526315789,52.6315789473684
"3003","Epigonus_telescopus",100,100,66.6666666666667,33.3333333333333
"3004","Epimenia_australis",37.6641651031895,35.5534709193246,59.7560975609756,36.9606003752345
"3005","Epinephelus_amblycephalus",38.4696016771488,36.8972746331237,58.0712788259958,41.1949685534591
"3006","Epinephelus_chlorostigma",42,37.5263157894737,67,42.7894736842105
"3007","Epinephelus_cyanopodus",42.4867413081909,37.5957572186211,67.1184443134944,43.3117265763111
"3008","Epinephelus_fasciatus",43.274244004171,37.4869655891554,69.4473409801877,47.4452554744526
"3009","Epinephelus_fuscoguttatus",42.2206991089788,38.1082933516107,65.318711446196,43.4544208361892
"3010","Epinephelus_hexagonatus",44.7129909365559,36.8580060422961,69.1238670694864,47.3716012084592
"3011","Epinephelus_howlandi",46.7071057192374,36.9150779896014,68.1109185441941,42.5476603119584
"3012","Epinephelus_kupangensis",38.0424746075716,37.1191135734072,59.8337950138504,40.0738688827332
