"","feature","EM_Feature_MHW_SumCumInt_585","EM_Feature_velocity_585","EM_Feature_o2os_585","EM_Feature_phos_585","EM_Feature_tos_585"
"4242","Istigobius_ornatus",65.8745247148289,59.2205323193916,51.8060836501901,43.5361216730038,57.2243346007605
"4243","Istigobius_rigilius",60.8695652173913,61.9817997977755,48.5338725985844,45.3993933265925,55.8139534883721
"4244","Istigobius_spence",60.9339407744875,57.630979498861,46.2414578587699,46.8109339407745,52.619589977221
"4245","Istiompax_indica",42.5698423011045,44.217707164373,42.9508003071289,43.1929596597956,46.2051857539425
"4246","Istiophorus_platypterus",40.9143205197618,40.7620465619924,43.506361667569,48.5550893340552,43.0732268543584
"4247","Isurus_oxyrinchus",41.4103327379771,41.6153998809288,43.894291195343,47.9592511741748,44.0332076470199
"4248","Isurus_paucus",42.5101582873431,44.1385165868154,43.6927648735521,44.3143914124568,46.3005640123719
"4249","Jacksonaster_depressum",61.1630321910696,58.1516095534787,46.0020768431983,48.1827622014538,53.8940809968847
"4250","Jania_capillacea",61.9678334910123,62.0624408703879,45.4115421002838,45.0331125827815,54.2100283822138
"4251","Jania_tenella",59.9761051373955,63.3213859020311,49.3428912783751,44.5639187574671,51.373954599761
"4252","Janicella_spinicauda",41.7419260558235,44.0742364460032,41.9640508548882,42.5310536314482,45.032880315651
"4253","Janthina_janthina",66.9941060903733,62.770137524558,52.2593320235756,42.1414538310413,59.9214145383104
"4254","Japetella_diaphana",54.6692015209125,58.6539923954373,46.7072243346008,41.6425855513308,56.0304182509506
"4255","Jasmineira_elegans",64.8484848484848,62.020202020202,44.4444444444444,37.8787878787879,53.7373737373737
"4256","Jaspis_splendens",65.7509157509158,64.4688644688645,48.9010989010989,40.4761904761905,52.5641025641026
"4257","Jaspis_stellifera",57.6158940397351,56.8211920529801,47.5496688741722,48.7417218543046,51.6556291390728
"4258","Javania_cailleti",69.7076023391813,72.9824561403509,75.3216374269006,41.4035087719298,88.7719298245614
"4259","Jaydia_catalai",78.448275862069,79.3103448275862,40.5172413793103,32.183908045977,54.5977011494253
"4260","Jaydia_ellioti",63.8832997987928,58.5513078470825,45.6740442655936,45.4728370221328,54.2253521126761
"4261","Jaydia_lineata",58.5651537335286,53.0014641288433,43.6310395314788,49.0483162518302,51.5373352855051
"4262","Jaydia_novaeguineae",61.5485564304462,52.6246719160105,45.4068241469816,47.3753280839895,51.1811023622047
"4263","Jaydia_poeciloptera",60.2597402597403,53.1168831168831,44.025974025974,47.9220779220779,52.2077922077922
"4264","Jaydia_truncata",59.8877980364656,53.4361851332398,43.0575035063114,48.1065918653576,52.7349228611501
"4265","Jocaste_japonica",66.0436137071651,63.6292834890966,51.3239875389408,43.9252336448598,60.5919003115265
"4266","Jocaste_lucina",66.8634686346864,63.4686346863469,50.479704797048,43.1734317343173,60.2214022140221
"4267","Johnius_laevis",59.5628415300546,53.551912568306,46.0382513661202,48.4972677595628,51.3661202185792
"4268","Johnius_macrorhynus",58.5760517799353,51.6181229773463,42.2330097087379,47.8964401294498,50.4854368932039
"4269","Johnius_plagiostoma",58.8050314465409,52.0440251572327,42.2955974842767,47.4842767295598,50.6289308176101
"4270","Jorunna_funebris",60.2564102564103,52.8205128205128,46.7948717948718,46.4102564102564,50.1282051282051
"4271","Jorunna_pantherina",64.2054574638844,64.3659711075441,45.4253611556982,43.0176565008026,50.7223113964687
"4272","Jouannetia_cumingi",59.3984962406015,55.5137844611529,46.7418546365915,47.3684210526316,52.0050125313283
"4273","Joubiniteuthis_portieri",54.2443667443667,58.8578088578089,46.6880341880342,43.0944055944056,55.1379176379176
"4274","Julia_zebra",78.544776119403,77.0522388059701,49.8134328358209,40.8582089552239,58.955223880597
"4275","Junceella_juncea",55.9779614325069,67.1074380165289,46.3911845730028,46.1707988980716,54.7658402203857
"4276","Justitia_mauritiana",64.1025641025641,68.6609686609687,56.1253561253561,44.349477682811,60.1139601139601
"4277","Juxtamusium_coudeini",62.3853211009174,62.4770642201835,45.045871559633,44.954128440367,54.5871559633027
"4278","Juxtamusium_maldivense",62.1184919210054,63.6445242369838,46.3195691202873,46.229802513465,55.2962298025135
"4279","Juxtaxanthias_tetraodon",74.7747747747748,74.0990990990991,45.945945945946,33.3333333333333,62.6126126126126
"4280","Kajikia_audax",43.0315562857628,44.8048269219874,42.5443317659056,41.9834570279304,46.1192000453232
"4281","Kali_kerberti",41.5625101980877,42.1956074796854,44.4375550696733,47.5410371047221,44.8552687400059
"4282","Kamoharaia_megastoma",47.9781974901762,51.9837748764102,41.2473063759665,52.6936240334643,43.8205095702877
"4283","Kappaphycus_alvarezii",65.9223300970874,62.621359223301,51.5533980582524,42.9126213592233,60.3883495145631
"4284","Karalla_dussumieri",61.2323491655969,52.5032092426187,45.8279845956354,45.8279845956354,50.7060333761232
"4285","Karsten_totoyensis",52.2595596755504,54.3453070683662,46.5816917728853,51.9119351100811,51.7960602549247
"4286","Kasim_philippinensis",35.2112676056338,35.2112676056338,32.3943661971831,42.2535211267606,35.2112676056338
"4287","Katelysia_japonica",63.2411067193676,59.4861660079051,45.8498023715415,44.4664031620553,52.2727272727273
"4288","Kathetostoma_averruncus",31.5789473684211,31.5789473684211,39.4736842105263,94.7368421052632,68.4210526315789
"4289","Katsuwonus_pelamis",42.6161086937217,44.1997454340941,43.1252405055797,43.2910043513009,46.2688334369357
"4290","Kaupichthys_atronasus",61.0011641443539,62.5145518044237,50.058207217695,45.0523864959255,53.7834691501746
"4291","Kaupichthys_brachychirus",59.2592592592593,54.0740740740741,47.4074074074074,46.4550264550265,56.4021164021164
"4292","Kaupichthys_diodontus",63.6583400483481,64.0612409347301,49.798549556809,44.5608380338437,60.1933924254633
"4293","Kaupichthys_hyoproroides",61.070110701107,60.5166051660517,53.8745387453875,46.4944649446494,63.2841328413284
"4294","Kelliella_rotunda",62.9508196721312,62.8688524590164,46.2295081967213,45.2459016393443,54.9180327868852
"4295","Kelloggella_cardinalis",61.437908496732,60.3921568627451,44.5751633986928,46.797385620915,56.9934640522876
"4296","Kempella_mikado",57.7132486388385,57.9854809437387,46.8239564428312,49.4555353901996,54.2649727767695
"4297","Kemponia_nilandensis",58.472553699284,57.3985680190931,48.2100238663485,50.1193317422434,53.3412887828162
"4298","Kentrocapros_flavofasciatus",79.9638989169675,87.3646209386281,48.014440433213,38.8086642599278,59.0252707581227
"4299","Kentrodoris_rubescens",60.0737100737101,54.9140049140049,47.1744471744472,46.9287469287469,51.5970515970516
"4300","Kermia_bifasciata",67.9900744416873,62.531017369727,49.3796526054591,40.4466501240695,52.605459057072
"4301","Kermia_harenula",61.864406779661,56.2146892655367,56.7796610169492,43.2203389830509,50
"4302","Kermia_melanoxytum",62.3046875,60.44921875,46.19140625,44.7265625,54.296875
"4303","Keuphylia_nodosa",85.9922178988327,86.3813229571984,44.3579766536965,33.4630350194552,56.8093385214008
"4304","Kochichthys_flavofasciatus",81.924882629108,85.2112676056338,55.3990610328638,42.9577464788732,61.5023474178404
"4305","Kogia_breviceps",48.8858802955943,47.8027867095391,43.8314435606702,48.74485248491,48.0735601060529
"4306","Kogia_sima",44.6040868454662,44.8549534756431,45.2016055464331,48.7228607918263,46.6475095785441
"4307","Koumansetta_rainfordi",59.6923076923077,60.5128205128205,46.8717948717949,47.6923076923077,54.4615384615385
"4308","Kraemeria_samoensis",61.4441416893733,58.7193460490463,59.6730245231608,46.1852861035422,61.0354223433242
"4309","Kraussia_rugulosa",65.2892561983471,63.6363636363636,50.9090909090909,42.8925619834711,60.3305785123967
"4310","Krohnitta_pacifica",61.9850187265918,62.8589263420724,44.5692883895131,44.7565543071161,56.3046192259675
"4311","Krohnitta_subtilis",60.7786170830912,63.2771644392795,45.6130156885532,44.6833236490413,56.2463683904707
"4312","Kuhlia_mugil",66.2548262548263,63.3204633204633,50.965250965251,43.6293436293436,60.2316602316602
"4313","Kuhlia_rupestris",63.1772268135905,59.6877869605142,45.6382001836547,44.5362718089991,54.9127640036731
