"","feature","EM_Penalty_MHW_SumCumInt_585","EM_Penalty_velocity_585","EM_Penalty_o2os_585","EM_Penalty_phos_585","EM_Penalty_tos_585"
"7479","Septaria_porcellana",46.1904761904762,37.6190476190476,40.4761904761905,43.015873015873,35.3968253968254
"7480","Septicollarina_zezinae",61.864406779661,60.3107344632768,59.0395480225989,48.728813559322,54.9435028248588
"7481","Septifer_bilocularis",54.2293233082707,46.8045112781955,48.8721804511278,45.2067669172932,45.1127819548872
"7482","Septifer_cumingii",51.5346181299072,46.395431834404,48.9650249821556,44.3254817987152,46.3240542469664
"7483","Septifer_excisus",50.9895227008149,43.5389988358556,45.7508731082654,46.2165308498254,41.7927823050058
"7484","Septifer_rudis",55.7671957671958,52.5925925925926,55.7671957671958,46.3492063492063,53.6507936507937
"7485","Sergestes_atlanticus",32.61925795053,35.0088339222615,30.2517667844523,31.7756183745583,31.0556537102473
"7486","Sergestes_pestafer",59.8726114649682,50.6369426751592,58.5987261146497,39.171974522293,52.5477707006369
"7487","Sergestes_vigilax",48.6533449174631,49.609035621199,50.1303214596003,47.5238922675934,50.390964378801
"7488","Sergia_bigemmea",30.0769602135575,30.088319654673,30.0939993752307,30.0002839860279,30.1025189560674
"7489","Sergia_challengeri",45.9521094640821,38.3504370961612,44.1657164576207,39.9847966552642,42.2272900038008
"7490","Sergia_gardineri",31.6870575719137,30.6804697409878,33.5406522361799,39.4901591718155,31.7566185195794
"7491","Sergia_japonica",37.2236958443855,34.553492484527,34.0495137046861,30,34.5623342175066
"7492","Sergia_laminata",51.3020833333333,61.9791666666667,51.3020833333333,66.9270833333333,53.6458333333333
"7493","Sergia_potens",100,100,100,100,100
"7494","Sergia_regalis",45.8767772511848,41.1058451816746,41.73775671406,41.4218009478673,40.2843601895735
"7495","Sergia_scintillans",44.554191137213,40.496529631607,41.137213027229,36.0384410037373,41.8312867058195
"7496","Sergia_talismani",46.7370803470388,42.7763108261034,43.7193511882309,39.9094681252358,43.1158053564693
"7497","Sergia_tenuiremis",57.4834437086093,52.317880794702,55.7615894039735,39.7350993377483,54.4370860927152
"7498","Seriaster_regularis",54.7826086956522,53.0434782608696,55.4782608695652,48.695652173913,53.5652173913043
"7499","Seriatopora_aculeata",47.9057591623037,43.3246073298429,46.9895287958115,45.5497382198953,46.7277486910995
"7500","Seriocarpa_rhizoides",52.2513089005236,52.4607329842932,50.5759162303665,52.3560209424084,50.6806282722513
"7501","Seriola_dumerili",49.3444576877235,45.2324195470799,46.4839094159714,43.6233611442193,43.9213349225268
"7502","Seriola_lalandi",51.7751479289941,41.9132149901381,44.0828402366864,40.5325443786982,39.9408284023669
"7503","Seriola_rivoliana",53.4172661870504,44.4244604316547,46.3129496402878,44.1546762589928,42.8057553956835
"7504","Serpula_vermicularis",46.218487394958,50.4201680672269,35.2941176470588,40.3361344537815,36.1344537815126
"7505","Serpulorbis_colubrinus",49.2600422832981,42.8118393234672,48.2029598308668,45.3488372093023,44.8202959830867
"7506","Serranocirrhitus_latus",50.958904109589,46.3013698630137,48.4931506849315,48.4018264840183,48.0365296803653
"7507","Serranus_aequidens",70.3030303030303,53.9393939393939,66.6666666666667,44.2424242424242,58.7878787878788
"7508","Serratosagitta_bierii",54.5454545454545,77.2727272727273,63.6363636363636,95.4545454545455,54.5454545454545
"7509","Serratosagitta_pacifica",47.3237043330501,42.0560747663551,44.6898895497026,42.4808836023789,42.2259983007647
"7510","Serratosagitta_serratodentata",47.0979443772672,44.8004836759371,43.6517533252721,43.5308343409915,42.9262394195889
"7511","Serratovola_gardineri",33.976176971072,32.3199092456041,30.9699376063528,39.7050482132728,31.1060692002269
"7512","Serratovola_rubicunda",48.4200743494424,43.5873605947955,44.7955390334572,43.8661710037175,42.6579925650558
"7513","Serrivomer_jesperseni",30.8493503704499,30.2301442428147,30.9066179891907,36.0821790328931,30.0225491248792
"7514","Serrivomer_sector",31.7354836095466,31.3626970298634,31.9583451517485,38.0485432959196,31.2127719923822
"7515","Sertularella_acutidentata",53.1139835487662,53.8190364277321,53.2314923619271,51.5863689776733,53.4665099882491
"7516","Sertularella_anguina",42.8115015974441,53.6741214057508,33.2268370607029,46.9648562300319,35.7827476038339
"7517","Sertularella_areyi",48.6918604651163,48.9098837209302,46.656976744186,46.5116279069767,48.546511627907
"7518","Sertularella_billardi",50.7288629737609,59.1836734693878,42.8571428571429,52.4781341107872,44.6064139941691
