"","feature","EM_Penalty_velocity_585","EM_Penalty_o2os_585","EM_Penalty_phos_585","EM_Penalty_tos_585"
"1976","Colochirus_crassus",58.6206896551724,46.551724137931,41.6666666666667,48.5632183908046
"1977","Cololabis_adocetus",37.0480142264375,30.2015411973918,34.2916419679905,41.1973918197985
"1978","Colomastix_lunalilo",50.875386199794,48.5066941297631,47.2708547888775,47.0648815653965
"1979","Colossendeis_macerrima",31.423372024395,32.7414912453276,31.2561479441275,33.1988982884124
"1980","Colossendeis_pipetta",63.2286995515695,57.847533632287,46.6367713004484,57.1748878923767
"1981","Colossendeis_sinuosa",33.4432028298095,33.0412412573358,33.7969290135863,34.182812123161
"1982","Colpodaspis_thompsoni",44.8341232227488,44.4549763033175,45.781990521327,42.3696682464455
"1983","Colubraria_muricata",43.5458786936236,43.0015552099533,44.1679626749611,41.3685847589425
"1984","Colubraria_nitidula",43.7201907790143,42.6073131955485,44.3561208267091,41.6534181240064
"1985","Colubraria_tortuosa",44.9760765550239,44.5933014354067,46.2200956937799,42.5837320574163
"1986","Comanthina_schlegeli",38.231780167264,38.4707287933094,46.3560334528077,37.9928315412186
"1987","Comanthus_briareus",39.622641509434,39.2183288409704,46.7654986522911,37.8706199460916
"1988","Comanthus_gisleni",45.1271186440678,44.9152542372881,47.5635593220339,43.6440677966102
"1989","Comanthus_parvicirrus",40.9930715935335,40.7621247113164,46.5357967667437,40.3002309468822
"1990","Comanthus_suavia",46.7447916666667,42.8385416666667,49.0885416666667,42.3177083333333
"1991","Comanthus_wahlbergii",41.1594202898551,42.0289855072464,43.4057971014493,40.3623188405797
"1992","Comaster_distinctus",48.9795918367347,52.0408163265306,44.3877551020408,48.6394557823129
"1993","Comaster_multibrachiatus",40.5994550408719,39.2370572207085,47.4114441416894,37.874659400545
"1994","Comaster_multifidus",42.8430404738401,42.9417571569595,45.7058242843041,41.9545903257651
"1995","Comaster_schlegelii",40.1651651651652,42.1171171171171,43.2432432432432,40.015015015015
"1996","Comatella_maculata",55.527950310559,49.5652173913044,44.5962732919255,51.055900621118
"1997","Comatella_nigra",39.1941391941392,39.3162393162393,47.7411477411477,38.4615384615385
"1998","Comatella_stelligera",41.1146161934805,40.7991587802313,46.7928496319663,40.6940063091483
"1999","Comatula_pectinata",41.0692588092345,40.947752126367,47.1445929526124,39.9756986634265
"2000","Compressidentalium_clathratum",37.5966993295513,41.8256833419288,41.3099535843218,40.7942238267148
"2001","Compressidentalium_hungerfordi",33.0547818012999,37.7901578458682,45.3110492107707,40.5756731662024
"2002","Compressidentalium_sibogae",41.2,44,47.8,39.4
"2003","Compressidentalium_subcurvatum",43.6627004655975,44.2317640972582,40.6104500775996,45.6285566476979
"2004","Conchodytes_meleagrinae",42.7795031055901,42.7018633540373,43.7888198757764,40.7608695652174
"2005","Conchodytes_tridacnae",43.7140509449466,43.7962202136401,44.7000821692687,41.9063270336894
"2006","Conchoecia_oblonga",42,41.8888888888889,42.0555555555556,41.0555555555556
