"","feature","MM-NorESM2-MM_Percentile_velocity_585","MM-IPSL-CM6A-LR_Percentile_velocity_585","MM-GFDL-ESM4_Percentile_velocity_585","MM-CMCC-ESM2_Percentile_velocity_585","MM-CanESM5_Percentile_velocity_585"
"7019","Pterygia_fenestrata",32.741935483871,34.6920821114369,33.7683284457478,33.6656891495601,34.1788856304985
"7020","Pterygia_scabricula",33.0978260869565,34.3342391304348,33.5733695652174,32.9076086956522,34.0489130434783
"7021","Pterygioteuthis_gemmata",32.9314546839299,33.0425886632313,31.9409004252823,32.263353115727,31.6683467741935
"7022","Pterygioteuthis_giardi",32.6735598227474,33.3456425406204,32.9837518463811,32.8286558345643,32.9320531757755
"7023","Pterygotrigla_andertoni",30.2272727272727,35,33.4090909090909,35,35
"7024","Pterygotrigla_cajorarori",32.1074380165289,34.6546052631579,33.8679245283019,34.7192513368984,34.3092105263158
"7025","Pterygotrigla_hemisticta",30.3614457831325,33.9096573208723,32.8680203045685,33.6138613861386,33.7647058823529
"7026","Pterygotrigla_leptacanthus",31.812015503876,34.4831223628692,33.5012594458438,33.5894206549118,34.1183879093199
"7027","Pterygotrigla_multiocellata",32.6666666666667,34.125,33.6145833333333,33.1770833333333,33.9791666666667
"7028","Pterygotrigla_ryukyuensis",31.3389121338912,34.3781725888325,32.7659574468085,33.4969325153374,33.8686868686869
"7029","Pterygotrigla_tagala",33.0456852791878,35,33.756345177665,33.0456852791878,33.9340101522843
"7030","Pterymarchia_barclayana",33.1372549019608,34.5098039215686,33.8235294117647,33.6274509803922,34.0196078431373
"7031","Pterynotus_barclayanus",32.8445747800587,34.4868035190616,33.5630498533724,33.7683284457478,34.1788856304985
"7032","Pterynotus_elongatus",31.5075921908894,34.3995098039216,32.4446902654867,34.2045454545455,34.2045454545455
"7033","Pterynotus_martinetana",32.9918032786885,34.5218579234973,33.8524590163934,33.4699453551912,33.948087431694
"7034","Pterynotus_pellucidus",32.8611111111111,34.3818984547461,33.9305555555556,34.0277777777778,34.2222222222222
"7035","Pugilina_cochlidium",32.4810606060606,33.7179487179487,33.5755813953488,33.9736070381232,34.3371212121212
"7036","Pugilina_colosseus",31.0792349726776,33.1514084507042,32.4366197183099,33.5169491525424,33.5145888594164
"7037","Pullosquilla_litoralis",32.4850299401198,33.4281437125749,32.6946107784431,32.4850299401198,33.2185628742515
"7038","Pullosquilla_malayensis",34.247311827957,34.3069306930693,33.1182795698925,32.3655913978495,34.6236559139785
"7039","Pullosquilla_pardus",33.8135593220339,34.4067796610169,33.5169491525424,32.6271186440678,33.2203389830508
"7040","Pullosquilla_thomassini",32.5888888888889,33.9855072463768,33.1333333333333,32.8222222222222,33.3666666666667
"7041","Pulsellum_beecheyi",32.7616279069767,35,33.9825581395349,33.3720930232558,33.9825581395349
"7042","Pulsellum_eboracense",30.5392156862745,34.0466926070039,32.2397476340694,33.4782608695652,33.8676470588235
"7043","Pupa_affinis",31.6915422885572,33.6170212765957,32.4238578680203,33.5858585858586,34.4087837837838
"7044","Pupa_alveola",33.1182795698925,34.247311827957,33.3691756272401,33.2437275985663,33.7455197132616
"7045","Pupa_solidula",32.6989619377163,34.2733564013841,33.4256055363322,33.6678200692041,33.7889273356401
"7046","Pupa_strigosa",33.18,34.58,33.46,31.92,34.02
"7047","Pupa_sulcata",33.1527777777778,34.7083333333333,33.7361111111111,33.0555555555556,34.125
"7048","Purpura_persica",32.5275938189845,33.9183222958057,33.0684326710817,32.9911699779249,33.3002207505519
"7049","Purpuradusta_gracilis",31.7592592592593,33.0241935483871,33.3226837060703,33.758064516129,33.5416666666667
"7050","Purpuradusta_minoridens",32.6986301369863,34.3287671232877,33.6575342465753,33.6575342465753,34.2328767123288
"7051","Pustularia_cicercula",32.4825986078886,33.6194895591647,32.8074245939675,32.969837587007,33.1322505800464
"7052","Pycnoclavella_diminuta",32.9725609756098,34.1902313624679,33.8262195121951,34.0396341463415,34.1463414634146
"7053","Pycnocraspedum_squamipinne",32.7078085642317,34.4710327455919,33.5012594458438,33.7657430730479,34.1183879093199
"7054","Pycnodonte_hyotis",32.4161073825503,33.903803131991,33.1208053691275,33.0425055928412,32.9642058165548
"7055","Pycnogonum_lobipes",32.5668449197861,30.1336898395722,30.1336898395722,30.1336898395722,30.1336898395722
"7056","Pycnogonum_moolenbeeki",30.4137931034483,31.6206896551724,30.051724137931,30.2931034482759,30.051724137931
"7057","Pycnogonum_musaicum",30,30.1848049281314,30.4004106776181,30.0051334702259,31.1870503597122
"7058","Pycnogonum_torresi",34.0171606864275,32.597503900156,32.5429017160686,32.3790951638065,32.9797191887675
"7059","Pycnogonum_tuberculatum",30.907960199005,34.3577981651376,32.1929824561403,33.5235732009926,34.3069306930693
"7060","Pygoplites_diacanthus",32.6519916142558,33.8255033557047,32.7830188679245,32.9411764705882,33.3088235294118
"7061","Pylocheles_mortensenii",32.9263913824057,33.8061041292639,33.6804308797127,32.9892280071813,33.8061041292639
"7062","Pylopaguropsis_fimbriata",32.4887892376682,33.9013452914798,33.0381165919283,32.9596412556054,33.2735426008969
"7063","Pylopaguropsis_keijii",32.6082004555809,33.8041002277904,33.0068337129841,33.0068337129841,33.0068337129841
"7064","Pylopaguropsis_lewinsohni",32.9885057471264,33.5919540229885,32.9885057471264,32.9214559386973,32.72030651341
"7065","Pylopaguropsis_zebra",31.1216216216216,34.3965517241379,33.2451253481894,33.8648648648649,33.9947780678851
"7066","Pyramidella_sulcata",33.0926430517711,34.5231607629428,33.7602179836512,32.9972752043597,34.0463215258856
"7067","Pyramodon_punctatus",35,35,35,35,35
"7068","Pyramodon_ventralis",32.6079136690648,34.2938209331652,33.49609375,33.5521582733813,33.4262589928057
"7069","Pyrene_flava",32.6986301369863,33.6575342465753,32.6986301369863,32.6027397260274,33.0821917808219
"7070","Pyrene_obtusa",32.5098814229249,33.3399209486166,32.2332015810277,31.8181818181818,33.3399209486166
"7071","Pyrene_punctata",32.9132791327913,34.3360433604336,33.6720867208672,33.0081300813008,34.0514905149051
"7072","Pyrene_scripta",32.4942263279446,33.8639876352396,33.2689335394127,33.3833718244804,33.5450346420323
"7073","Pyrene_testudinaria",33.1029810298103,34.3360433604336,33.5772357723577,32.9132791327913,34.0514905149051
"7074","Pyrene_turturina",33.1161473087819,34.3059490084986,33.6118980169972,33.314447592068,34.0084985835694
