feature,EM_Percentile_tos_585,MM-NorESM2-MM_Percentile_tos_585,MM-IPSL-CM6A-LR_Percentile_tos_585,MM-GFDL-ESM4_Percentile_tos_585,MM-CMCC-ESM2_Percentile_tos_585,MM-CanESM5_Percentile_tos_585
Spiroloculina_clara,32.965116279069804,33.372093023255836,34.186046511627914,35,33.168604651162816,34.389534883720934
Spiroloculina_depressa,34.72,33.879999999999995,35,35,33.879999999999995,35
Spirula_spirula,30.068438003220606,31.871980676328516,30.913848631239905,31.702898550724658,33.421900161030564,31.477455716586178
Splendrillia_persica,32.69736842105265,33.61842105263159,33.61842105263159,35,34.07894736842106,33.38815789473682
Splendrillia_taylori,35,32.02127659574466,35,35,33.51063829787233,35
Spondylus_albibarbatus,31.927899686520387,32.586206896551694,32.69592476489031,34.61598746081504,33.79310344827585,33.738244514106576
Spondylus_anacanthus,30.661157024793397,32.20385674931131,33.36088154269969,34.13223140495868,34.13223140495868,33.264462809917354
Spondylus_barbatus,32.463768115942024,31.32246376811594,33.85869565217391,33.60507246376812,33.60507246376812,32.84420289855075
Spondylus_butleri,30.93243243243244,32.06756756756756,33.39189189189189,34.14864864864865,34.05405405405409,33.108108108108105
Spondylus_candidus,31.290760869565187,32.14673913043481,33.2880434782609,34.048913043478265,34.144021739130444,33.09782608695654
Spondylus_castus,32.746781115879806,32.746781115879806,34.248927038626576,33.04721030042915,33.648068669527895,33.19742489270389
Spondylus_echinatus,32.666666666666686,32.53703703703705,34.22222222222223,33.5740740740741,33.83333333333331,33.185185185185176
Spondylus_erectospinosus,33.09338521400779,32.00389105058369,33.77431906614787,33.910505836575894,33.77431906614787,33.229571984435815
Spondylus_exiguus,33.115384615384606,33.38461538461539,34.19230769230766,34.19230769230766,33.65384615384617,35
Spondylus_foliaceus,31.035911602209914,32.26681127982648,33.45303867403316,34.323204419889485,34.033149171270686,33.16298342541436
Spondylus_limbatus,31.08272506082723,32.47855917667235,33.55231143552309,33.97810218978105,34.14841849148422,33.1265206812652
Spondylus_linguafelis,30.624999999999996,32.3241590214067,33.409090909090885,33.72727272727274,34.125,33.09090909090911
Spondylus_multimuricatus,32.378277153558074,31.591760299625467,34.2134831460674,33.5580524344569,33.689138576779,32.77153558052437
Spondylus_occidens,31.07822410147994,32.18816067653277,32.85412262156451,33.74207188160676,33.89006342494717,33.002114164904846
Spondylus_orstomi,32.27064220183489,33.394495412844016,33.23394495412845,34.51834862385322,34.036697247706435,33.715596330275226
Spondylus_regius,32.558139534883686,32.10594315245478,33.73385012919894,33.372093023255836,33.824289405684745,33.100775193798476
Spondylus_sinensis,30.88235294117645,32.090464547677264,33.66176470588232,34.27941176470587,33.97058823529412,33.25
Spondylus_squamosus,30.906432748537988,31.85679611650487,33.66959064327488,34.283625730994146,33.976608187134474,33.26023391812863
Spondylus_varius,31.188118811881218,32.58203799654579,33.52722772277228,34.133663366336656,34.133663366336656,33.18069306930693
Spondylus_versicolor,30.906432748537988,32.28155339805823,33.66959064327488,34.283625730994146,33.976608187134474,33.26023391812863
Spondylus_victoriae,33.08457711442786,33.606965174129336,34.477611940298516,33.78109452736319,33.78109452736319,33.25870646766171
Spondylus_violascens,30.75514874141878,32.44029850746265,33.39816933638444,33.79862700228833,34.118993135011465,33.15789473684212
Spondylus_wrightianus,33.501529051987774,31.8960244648318,34.036697247706435,33.92966360856268,34.14373088685013,33.180428134556564
Spondylus_zonalis,30.676202860858236,32.5877763328999,31.0858257477243,33.86215864759427,33.81664499349808,32.26918075422629
Spongia_australis,32.78048780487803,32.60975609756095,33.63414634146343,34.487804878048756,34.1463414634146,33.97560975609759
Spongia_officinalis,31.93502824858759,32.62711864406778,33.220338983050866,34.1101694915254,34.1101694915254,33.220338983050866
Spottobrotula_amaculata,31.430921052631586,32.95833333333331,33.73355263157894,34.88486842105265,34.07894736842106,33.15789473684212
Spratelloides_delicatulus,30.750551876379717,32.193645990922846,33.22295805739512,33.60927152317881,34.15011037527593,33.14569536423838
Spratelloides_gracilis,31.263020833333307,32.15667311411989,33.541666666666686,33.99739583333331,33.72395833333331,33.0859375
Springerichthys_kulbickii,31.44067796610167,32.03389830508476,33.220338983050866,33.220338983050866,34.01129943502823,33.61581920903954
Spyridia_filamentosa,31.36612021857923,32.131147540983605,33.27868852459017,33.85245901639343,34.13934426229509,33.087431693989046
Squaliolus_aliae,32.4176880557558,30.474462365591368,33.56520625160136,32.50752256770311,30.11693548387097,31.52203237410073
Squaliolus_laticaudus,31.11278087877484,31.49849720910263,30.59682267067412,31.593673965936734,30.847287820237558,30.937455274080456
Squalus_albifrons,33.985507246376834,33.985507246376834,34.23913043478263,35,32.71739130434782,34.49275362318842
Squalus_grahami,31.25201288244763,32.21014492753624,31.167471819645698,31.195652173913007,30.970209339774527,31.78743961352659
Squalus_megalops,35,34.125,35,35,32.375,35
Squalus_mitsukurii,33.125000000000014,33.749999999999986,34.68749999999998,35,32.49999999999998,34.37500000000003
Squilla_mauritiana,32.03389830508476,32.03389830508476,33.07203389830508,34.1101694915254,34.1101694915254,33.220338983050866
Squilloides_leptosquilla,34.030769230769216,32.092307692307656,34.030769230769216,34.246153846153824,34.46153846153844,32.95384615384617
Stalix_histrio,30.985294117647026,32.36650485436893,33.76470588235297,34.58823529411767,34.0735294117647,33.14705882352942
Stanulus_seychellensis,30.624999999999996,32.45033112582779,33.3700980392157,33.71323529411767,34.22794117647058,33.11274509803925
Stanulus_talboti,31.555118110236204,32.3818897637795,33.20866141732286,33.484251968503905,34.311023622047266,33.897637795275585
Staphylaea_nucleus,31.131578947368407,32.23684210526318,33.34210526315788,34.07894736842106,34.17105263157894,33.15789473684212
Staphylaea_staphylaea,31.356164383561637,32.219178082191796,33.27397260273975,34.04109589041098,34.13698630136984,33.27397260273975
Stavelia_subdistorta,32.869565217391276,33.173913043478265,34.0869565217391,33.173913043478265,33.78260869565218,33.173913043478265
Steeneichthys_plesiopsus,31.131578947368407,31.68421052631576,33.34210526315788,33.43421052631576,34.26315789473682,33.25
Stegastes_albifasciatus,31.479885057471265,31.379310344827616,33.89367816091957,33.6925287356322,34.19540229885059,33.18965517241381
Stegastes_apicalis,32.49999999999998,30.000000000000025,33.333333333333314,30.000000000000025,35,35
Stegastes_aureus,31.152482269503558,31.77304964539006,33.26241134751773,33.88297872340423,34.1312056737589,32.76595744680853
Stegastes_fasciolatus,30.73985680190929,31.742243436754197,33.41288782816229,33.329355608591904,34.08114558472554,33.0787589498807
Stegastes_gascoynei,32.91666666666664,33.749999999999986,34.58333333333333,34.16666666666666,32.91666666666664,35
Stegastes_nigricans,30.822072072072046,32.43119266055046,33.50225225225228,33.81756756756756,34.29054054054055,33.18693693693693
Stegastes_punctatus,31.0747663551402,32.2222222222222,33.528037383177534,33.936915887850496,34.18224299065422,33.20093457943927
Steggoa_magalaensis,32.3369565217391,32.36301369863016,33.63043478260872,34.695652173913075,33.78260869565218,33.55434782608699
Stegopontonia_commensalis,30.91240875912406,31.67883211678829,33.296836982968365,33.46715328467154,34.23357664233577,33.1265206812652
Stegosoma_magnum,30.45899632802936,32.472460220318226,31.23011015911871,33.54345165238676,33.54345165238676,31.74418604651161
Stegostoma_fasciatum,31.702127659574465,31.4697406340058,33.61702127659575,34.042553191489354,34.042553191489354,33.19148936170214
Stellaster_childreni,32.65175718849842,31.869009584664557,33.88178913738017,33.54632587859427,33.76996805111818,33.210862619808296
Stellaster_equestris,32.86738351254477,32.74193548387097,33.99641577060932,33.62007168458778,33.74551971326164,33.24372759856631
Stelletta_brevis,32.53768844221105,31.98770491803278,33.592964824120585,33.94472361809046,33.94472361809046,33.06532663316582
Stelletta_clavosa,32.60080645161291,31.612903225806416,34.15322580645164,33.870967741935516,33.72983870967739,33.165322580645146
Stelletta_crassispicula,32.699530516431935,32.10743801652891,33.84976525821597,33.84976525821597,34.01408450704221,32.86384976525819
Stelletta_japonica,30.88235294117645,32.49999999999998,32.42647058823529,32.94117647058825,31.91176470588232,33.45588235294116
Stelletta_mauritiana,32.101910828025495,32.99363057324838,32.99363057324838,33.773885350318466,33.99681528662419,33.43949044585989
Stelletta_purpurea,32.378277153558074,31.853932584269664,33.689138576779,33.16479400749067,33.689138576779,33.2958801498127
Stelletta_radicifera,33.292682926829265,33.63414634146343,34.65853658536584,35,33.12195121951219,34.82926829268292
Stelletta_simplicissima,32.30769230769234,35,35,32.30769230769234,35,32.30769230769234
Stelletta_subtilis,30.462962962962948,31.718749999999996,33.055555555555536,32.407407407407405,31.11111111111108,33.055555555555536
Stelletta_variohamata,31.379310344827616,31.9047619047619,33.31034482758619,33.79310344827585,34.155172413793125,33.06896551724136
Stellitethya_repens,31.29411764705884,32.36470588235297,32.77647058823529,33.68235294117645,33.847058823529416,33.35294117647058
Stemonosudis_elongata,30.77631720719752,31.115720288761985,31.127033724814158,30.70089430018317,30.504794741945926,31.515461695937937
Stemonosudis_gracilis,30.83034111310594,31.13105924596052,30.73608617594256,30.52513464991025,30.251346499102326,31.06822262118491
Stemonosudis_macrura,30.32714924631441,30.18844221105531,31.153304621500737,30.463392413450357,30.084076717216757,31.193887692562555
Stemonosudis_rothschildi,30.50313370473537,30.356452392460106,31.25870473537602,30.58539345403899,30.186281337047358,31.39275766016712
Stenatherina_panatela,31.29411764705884,31.917098445595858,33.45588235294116,34.48529411764703,34.48529411764703,32.94117647058825
Stenella_attenuata,30.8194858684846,31.37125408322682,31.17241869052689,30.913932680017027,30.406902428632307,30.8343985229371
Stenella_coeruleoalba,30.71413796669771,31.105078084600237,31.300548143551538,30.30871858516908,30.058951287620214,31.30778777536459
Stenella_longirostris,30.88265913146939,31.715496728138017,31.168947055324185,31.81439619274238,30.88265913146939,30.679654967281387
Steno_bredanensis,30.719392314566548,31.14437069185603,31.26053101863671,30.456344140924166,30.09446004595352,31.023742660199098
Stenocyathus_vermiformis,35,35,35,35,35,35
Stenogobius_genivittatus,31.207430340557234,32.517162471395906,33.59133126934984,34.13312693498449,34.02476780185756,33.049535603715185
Stenogobius_gymnopomus,32.09844559585489,31.917098445595858,33.54922279792748,33.54922279792748,33.911917098445606,33.00518134715025
Stenopus_hispidus,31.268382352941156,32.33650416171224,33.32720588235297,33.58455882352942,33.77757352941174,33.32720588235297
Stenopus_tenuirostris,30.69351230425053,32.28723404255321,33.35570469798658,33.5906040268456,34.217002237136455,33.199105145413895
Stephanocyathus_spiniger,30.485865724381615,32.46466431095405,31.28975265017665,34.010600706713745,33.94876325088339,32.6501766784452
Stephanometra_echinus,31.499999999999996,31.379310344827616,33.55172413793102,34.034482758620676,34.155172413793125,33.31034482758619
Stephanometra_indica,31.132596685082895,32.290322580645146,33.54972375690607,34.323204419889485,34.033149171270686,33.35635359116025
Stephanometra_oxyacantha,32.80334728033475,32.6569037656904,34.26778242677825,33.09623430962345,33.68200836820085,33.09623430962345
Stephanometra_tenuipinna,31.666666666666636,31.309523809523817,33.690476190476204,33.928571428571395,34.285714285714285,33.21428571428569
Stereomastis_aculeata,30.572916666666636,32.70833333333335,31.093750000000025,34.1145833333333,33.854166666666636,32.34374999999997
