"","feature","MM-NorESM2-MM_Percentile_phos_585","MM-IPSL-CM6A-LR_Percentile_phos_585","MM-GFDL-ESM4_Percentile_phos_585","MM-CMCC-ESM2_Percentile_phos_585","MM-CanESM5_Percentile_phos_585"
"8511","Valenciennea_decora",34.1071428571429,34.4642857142857,33.75,32.1428571428572,32.5
"8512","Valenciennea_helsdingenii",32.1744791666667,32.3567708333333,30.8072916666667,32.0833333333333,30.8984375
"8513","Valenciennea_immaculata",32.4161073825504,32.1812080536913,31.241610738255,31.8288590604027,30.5369127516778
"8514","Valenciennea_limicola",33.2426778242678,31.7782426778243,32.071129707113,31.6317991631799,31.0460251046025
"8515","Valenciennea_longipinnis",32.253164556962,32.5189873417721,30.8354430379747,31.9873417721519,30.3924050632911
"8516","Valenciennea_muralis",33.2765151515152,31.8181818181818,31.5530303030303,31.8181818181818,30.625
"8517","Valenciennea_parva",32.5364077669903,32.2815533980582,30.9223300970874,32.1116504854369,30.752427184466
"8518","Valenciennea_puellaris",32.5320512820513,32.3824786324787,30.9615384615384,32.1581196581196,30.8119658119658
"8519","Valenciennea_randalli",33.0281690140845,32.0422535211267,31.4260563380282,31.9190140845071,30.4401408450704
"8520","Valenciennea_sexguttata",33.4150943396227,31.8301886792453,31.566037735849,31.8301886792453,30.6415094339623
"8521","Valenciennea_strigata",32.5275938189845,32.373068432671,30.9050772626931,32.1412803532009,30.9050772626931
"8522","Valenciennea_wardii",32.2345679012346,32.4938271604939,30.9382716049383,31.9753086419753,30.5061728395061
"8523","Valenciennellus_carlsbergi",30.4591706944798,30.6639531925719,31.135843296871,30.619435258204,30.3256168913762
"8524","Valenciennellus_tripunctulatus",30.0411334552102,30.1051188299817,30.0440418813362,30.3785108858235,30.2708991191624
"8525","Valettietta_anacantha",35,30.8,35,32.2,32.2
"8526","Valonia_aegagropila",33.1888745148771,32.2633744855967,30.6069958847736,32.1913580246914,30.9670781893004
"8527","Valonia_fastigiata",32.2368421052632,32.4210526315789,30.7631578947368,32.0526315789473,30.4868421052632
"8528","Valonia_utricularis",32.2860962566845,32.379679144385,30.7887700534759,31.9117647058823,30.5080213903744
"8529","Valonia_ventricosa",32.3918269230769,32.5600961538462,30.7091346153846,32.0552884615384,30.4567307692308
"8530","Valoniopsis_pachynema",32.3076923076923,32.3974358974359,30.8717948717949,31.9487179487179,30.5128205128205
