solutions,scenario,model,metric,approach
s224,SSP1-2.6,EM,o2os,climate priority area
s225,SSP1-2.6,EM,velocity,climate priority area
s226,SSP2-4.5,EM,tos,climate priority area
s227,SSP2-4.5,EM,phos,climate priority area
s228,SSP2-4.5,EM,o2os,climate priority area
s229,SSP2-4.5,EM,velocity,climate priority area
s230,SSP1-2.6,CanESM5,tos,climate priority area
s231,SSP1-2.6,CMCC-ESM2,tos,climate priority area
s232,SSP1-2.6,GFDL-ESM4,tos,climate priority area
s233,SSP1-2.6,IPSL-CM6A-LR,tos,climate priority area
s234,SSP1-2.6,NorESM2-MM,tos,climate priority area
s235,SSP1-2.6,CanESM5,phos,climate priority area
s236,SSP1-2.6,CMCC-ESM2,phos,climate priority area
s237,SSP1-2.6,GFDL-ESM4,phos,climate priority area
s238,SSP1-2.6,IPSL-CM6A-LR,phos,climate priority area
s239,SSP1-2.6,NorESM2-MM,phos,climate priority area
s240,SSP1-2.6,CanESM5,o2os,climate priority area
s241,SSP1-2.6,CMCC-ESM2,o2os,climate priority area
s242,SSP1-2.6,GFDL-ESM4,o2os,climate priority area
s243,SSP1-2.6,IPSL-CM6A-LR,o2os,climate priority area
s244,SSP1-2.6,NorESM2-MM,o2os,climate priority area
s245,SSP1-2.6,CanESM5,velocity,climate priority area
s246,SSP1-2.6,CMCC-ESM2,velocity,climate priority area
s247,SSP1-2.6,GFDL-ESM4,velocity,climate priority area
s248,SSP1-2.6,IPSL-CM6A-LR,velocity,climate priority area
s249,SSP1-2.6,NorESM2-MM,velocity,climate priority area
s250,SSP2-4.5,CanESM5,tos,climate priority area
s251,SSP2-4.5,CMCC-ESM2,tos,climate priority area
s252,SSP2-4.5,GFDL-ESM4,tos,climate priority area
s253,SSP2-4.5,IPSL-CM6A-LR,tos,climate priority area
s254,SSP2-4.5,NorESM2-MM,tos,climate priority area
s255,SSP2-4.5,CanESM5,phos,climate priority area
s256,SSP2-4.5,CMCC-ESM2,phos,climate priority area
s257,SSP2-4.5,GFDL-ESM4,phos,climate priority area
s258,SSP2-4.5,IPSL-CM6A-LR,phos,climate priority area
s259,SSP2-4.5,NorESM2-MM,phos,climate priority area
s260,SSP2-4.5,CanESM5,o2os,climate priority area
s261,SSP2-4.5,CMCC-ESM2,o2os,climate priority area
s262,SSP2-4.5,GFDL-ESM4,o2os,climate priority area
s263,SSP2-4.5,IPSL-CM6A-LR,o2os,climate priority area
s264,SSP2-4.5,NorESM2-MM,o2os,climate priority area
s265,SSP2-4.5,CanESM5,velocity,climate priority area
s266,SSP2-4.5,CMCC-ESM2,velocity,climate priority area
s267,SSP2-4.5,GFDL-ESM4,velocity,climate priority area
s268,SSP2-4.5,IPSL-CM6A-LR,velocity,climate priority area
s269,SSP2-4.5,NorESM2-MM,velocity,climate priority area
s270,SSP5-8.5,CanESM5,tos,climate priority area
s271,SSP5-8.5,CMCC-ESM2,tos,climate priority area
s272,SSP5-8.5,GFDL-ESM4,tos,climate priority area
s273,SSP5-8.5,IPSL-CM6A-LR,tos,climate priority area
s274,SSP5-8.5,NorESM2-MM,tos,climate priority area
