"","feature","EM_Percentile_velocity_585","EM_Percentile_o2os_585","EM_Percentile_phos_585","EM_Percentile_tos_585"
"6927","Pseudogramma_pectoralis",32.103448275862,33.551724137931,32.103448275862,33.3103448275862
"6928","Pseudogramma_polyacantha",32.9721030042918,31.5450643776824,30.793991416309,31.019313304721
"6929","Pseudograpsus_albus",32.8125,31.2731481481481,30.3819444444445,30.5439814814815
"6930","Pseudohowella_intermedia",32.2456813819577,32.9846449136276,33.253358925144,30.4318618042226
"6931","Pseudojuloides_atavai",32.0464135021097,32.3417721518987,35,31.4556962025316
"6932","Pseudojuloides_elongatus",32.7173913043478,33.4782608695652,31.9565217391304,31.9565217391304
"6933","Pseudojuloides_mesostigma",33.1857451403887,31.7494600431966,30.2375809935205,31.22030237581
"6934","Pseudojuloides_severnsi",33.8562091503268,31.3745019920319,30.6772908366534,32.6294820717132
"6935","Pseudojuloides_splendens",33.0512249443207,31.6481069042316,30.3229398663697,30.8685968819599
"6936","Pseudoliomera_granosimana",33.1283422459893,31.2566844919786,30.6016042780749,30.8823529411764
"6937","Pseudoliomera_speciosa",32.8222222222222,31.4222222222222,30.7222222222222,30.7222222222222
"6938","Pseudomonacanthus_macrurus",34.6698113207547,30.7729468599034,30.2657004830918,31.9565217391304
"6939","Pseudomonacanthus_peroni",33.7620578778135,31.4859437751004,30.9236947791164,32.6104417670683
"6940","Pseudopalicus_investigatoris",32.4759615384616,33.4855769230769,31.2980769230769,32.3076923076923
"6941","Pseudopalicus_oahuensis",32.1730769230769,32.7115384615384,34.2653673163418,30.2884615384616
"6942","Pseudopalicus_pictus",31.872852233677,32.8350515463918,34.4246575342466,31.2714776632302
"6943","Pseudoplesiops_annae",34.4736842105263,32.1052631578947,31.1842105263158,33.1578947368421
"6944","Pseudoplesiops_immaculatus",33.4186746987952,32.1536144578313,30.8885542168675,31.3102409638554
"6945","Pseudoplesiops_revellei",32.6196473551637,32.1788413098237,32.8841309823678,31.1209068010075
"6946","Pseudoplesiops_rosae",32.8841309823678,31.8261964735516,30.5037783375314,30.5919395465995
"6947","Pseudoplesiops_typus",33.7251655629139,31.4072847682119,30.364238410596,31.6390728476821
"6948","Pseudoplesiops_wassi",32.8680203045685,31.9796954314721,30.8248730964467,31.2690355329949
"6949","Pseudopolydora_kempi",35,35,35,35
"6950","Pseudorca_crassidens",30.3891050583658,30.5544747081712,30.8900778210116,30.7149805447471
"6951","Pseudorhombus_arsius",32.3076923076923,31.5116279069768,30.2325581395349,32.5581395348837
"6952","Pseudorhombus_dupliciocellatus",33.01261829653,31.6044776119403,30.8208955223881,33.1716417910447
"6953","Pseudorhombus_megalops",34.0094339622642,32.422480620155,31.7441860465116,33.9147286821706
"6954","Pseudorhombus_triocellatus",33.7418300653595,31.403162055336,30.7114624505929,32.6482213438735
"6955","Pseudosagitta_lyra",35,35,35,35
"6956","Pseudoscopelus_bothrorrhinos",32.3458038422649,31.5714285714285,31.1896316507504,33.362003541614
"6957","Pseudoscopelus_obtusifrons",31.4660792951542,31.774449339207,31.1762114537445,31.873127753304
"6958","Pseudoscopelus_sagamianus",31.0228991142795,31.4689997839706,30.3121624540937,31.5446100669691
"6959","Pseudoscopelus_scutatus",30.1485148514852,33.9603960396039,35,34.3069306930693
"6960","Pseudosiderastrea_tayamai",33.4923076923077,31.5267175572519,30.7251908396947,32.4618320610687
"6961","Pseudosquilla_ciliata",33.036750483559,31.8181818181818,30.7350096711799,31.2088974854932
"6962","Pseudosquillana_richeri",32.9536290322581,31.6834677419355,30.4838709677419,31.0483870967742
"6963","Pseudosquillisma_oculata",32.9193205944798,31.5074309978769,30.9129511677282,30.9129511677282
"6964","Pseudostichopus_hyalegerus",32.065868263473,32.065868263473,30.7035928143713,33.0089820359281
"6965","Pseudostomatella_decolorata",33.2203389830509,32.0338983050848,30.9661016949152,31.4406779661017
"6966","Pseudostomatella_papyracea",34.1566265060241,31.3453815261045,30.6425702811245,32.4698795180723
"6967","Pseudotalopia_sakuraii",32.4338085539715,32.4561403508772,30.5263157894737,31.578947368421
"6968","Pseudotriakis_microdon",31.2178387650086,32.5085763293311,31.8956043956044,30.0171526586621
"6969","Pseudotriloculina_linneiana",31.30081300813,33.0081300813008,31.5853658536585,33.0081300813008
"6970","Pseudovermilia_occidentalis",33.5526315789474,34.2391304347826,35,34.4214876033058
"6971","Pseudovertagus_aluco",33.0987654320987,31.716049382716,30.5925925925926,30.4197530864198
"6972","Pseudovertagus_nobilis",32.283105022831,33.4018264840182,30.8447488584475,32.283105022831
"6973","Pseudozius_caystrus",32.8638497652582,31.2206572769953,30.3169014084507,30.6455399061033
"6974","Psilaxis_oxytropis",32.7049180327869,33.422131147541,31.2162162162162,32.4180327868853
"6975","Psilaxis_radiatus",33.0801687763713,31.6033755274261,30.7172995780591,31.0864978902953
"6976","Psilogobius_prolatus",34.7682119205298,34.3046357615894,34.3046357615894,34.0728476821192
"6977","Pteraclis_aesticola",31.5813953488372,32.0697674418605,31.6079295154185,31.906976744186
"6978","Pteraclis_velifera",31.1637347767253,32.4661705006766,30.0033829499323,31.1400541271989
"6979","Pteragogus_cryptus",33.2537960954447,31.6594360086768,30.2169197396963,31.0520607375271
"6980","Pteragogus_enneacanthus",33.2458233890215,31.909307875895,30.071599045346,31.1575178997613
"6981","Pteragogus_flagellifer",32.3007712082262,31.7224080267559,30.3177257525084,32.7759197324415
"6982","Pteragogus_guttatus",32.3350253807106,30.7360406091371,30.7360406091371,31.0913705583756
"6983","Pteraster_obesus",32.3076923076923,34.020979020979,34.020979020979,32.5524475524475
"6984","Ptereleotris_evides",32.8841309823678,31.7380352644836,30.6801007556675,31.1209068010075
"6985","Ptereleotris_grammica",33.5012594458438,32.0906801007556,30.1511335012595,31.2972292191436
"6986","Ptereleotris_hanae",33.0024813895782,31.8734491315136,30.8312655086848,31.2655086848635
"6987","Ptereleotris_heteroptera",32.9764453961456,31.4775160599572,30.203426124197,31.0278372591006
"6988","Ptereleotris_microlepis",33.0174291938998,31.4923747276688,30.2723311546841,30.8061002178649
"6989","Ptereleotris_monoptera",33.1470588235294,31.7897091722595,30.1454138702461,31.006711409396
"6990","Ptereleotris_zebra",32.8473804100228,31.3325740318907,31.0136674259681,30.7744874715262
"6991","Pteria_avicular",33.4923076923077,31.6981132075471,30.5094339622642,32.3584905660377
"6992","Pteria_levitata",31.9565217391304,33.7826086956522,33.4782608695652,33.1739130434783
"6993","Pteria_loveni",33.1137724550898,31.5419161676647,30.3892215568862,31.437125748503
"6994","Pteria_marmorata",35,35,31.865671641791,33.0555555555555
"6995","Pteria_penguin",33.2334384858044,31.6393442622951,30.2459016393442,31.2295081967213
"6996","Pteria_sterna",34.3,34.7697368421053,35,35
"6997","Pterocaesio_marri",33,31.8333333333333,30.3333333333333,30.75
"6998","Pterocaesio_pisang",32.119341563786,31.9861111111111,30.3333333333333,31.3055555555555
"6999","Pterocaesio_tile",33.1038374717833,31.6817155756207,30.1805869074492,30.8916478555305
"7000","Pterocaesio_trilineata",33.2602339181286,32.2368421052632,30.8040935672515,32.0321637426901
