"","feature","MM-NorESM2-MM_Percentile_o2os_585","MM-IPSL-CM6A-LR_Percentile_o2os_585","MM-GFDL-ESM4_Percentile_o2os_585","MM-CMCC-ESM2_Percentile_o2os_585","MM-CanESM5_Percentile_o2os_585"
"2816","Echidna_xanthospilos",31.25,34.6256684491978,31.0695187165775,34.8128342245989,33.3155080213904
"2817","Echinaster_callosus",30.7272727272727,34.0922190201729,32.0749279538905,34.8991354466859,33.4870317002882
"2818","Echinaster_luzonicus",30.7844690966719,34.1519823788546,32.0704845814978,34.8458149779736,33.226872246696
"2819","Echinochalina_australiensis",31.4467005076142,34.3,34.7666666666667,34.7666666666667,34.5333333333333
"2820","Echinochalina_barba",33.3333333333333,34.3518518518519,34.3518518518519,34.6759259259259,35
"2821","Echinochalina_bargibanti",33.25,35,32.375,35,35
"2822","Echinochalina_intermedia",31.3157894736842,33.955223880597,32.7798507462686,34.8694029850746,33.5634328358209
"2823","Echinochalina_laboutei",35,35,30.9615384615384,35,35
"2824","Echinocyamus_crispus",31.3372093023256,33.9197530864198,31.2191358024692,34.6759259259259,33.1635802469135
"2825","Echinocyamus_scaber",32.5627853881279,32.9623287671233,33.9611872146119,33.162100456621,32.4429223744292
"2826","Echinodictyum_asperum",31.0897435897436,34.2875318066158,31.972010178117,34.910941475827,33.2188295165395
"2827","Echinodictyum_mesenterinum",31.3157894736842,34.4776119402985,31.3432835820896,34.8694029850746,33.4328358208955
"2828","Echinodiscus_auritus",30.5375,34.1076487252124,32.1246458923512,34.9008498583569,33.413597733711
"2829","Echinodiscus_bisperforatus",30.8707865168539,34.2598187311178,31.9335347432024,34.8942598187311,33.4138972809668
"2830","Echinodiscus_tenuissimus",32.1531100478469,34.4976076555024,31.1483253588517,34.8325358851674,33.1578947368421
"2831","Echinoecus_pentagonus",30.9703947368421,34.064587973274,31.8819599109131,34.9220489977729,33.0512249443207
"2832","Echinogobius_hayashii",31.0701754385965,34.0576923076923,31.2307692307692,34.8653846153846,33.25
"2833","Echinolampas_alexandri",31.1538461538461,34.4466403162055,31.403162055336,34.8616600790514,33.201581027668
"2834","Echinolittorina_cinerea",31.2439024390244,34.0728476821192,31.9094922737307,34.9227373068433,33.1456953642384
"2835","Echinolittorina_feejeensis",31.4840182648402,33.8812785388128,34.2009132420092,35,34.2009132420092
"2836","Echinolittorina_melanacme",31.5853658536585,34.1666666666667,31.6666666666666,34.8611111111111,33.3333333333333
"2837","Echinolittorina_millegrana",31.4510489510489,33.8709677419355,31.7383512544803,34.8745519713261,33.3691756272401
"2838","Echinometra_mathaei",31.0150891632373,34.0576923076923,31.701923076923,34.7307692307692,33.0480769230769
"2839","Echinomorpha_nishihirai",31.0049627791563,34.0616621983915,32.1849865951743,34.9061662198391,33.5924932975871
"2840","Echinoneus_abnormalis",31.0468319559229,34.4408945686901,31.0862619808307,34.776357827476,33.0990415335463
"2841","Echinoneus_cyclostomus",31.2526766595289,33.4969325153374,31.7791411042945,34.6779141104294,32.5306748466258
"2842","Echinophyllia_aspera",30.625,34.0540540540541,32.0675675675676,34.9054054054054,33.3918918918919
"2843","Echinophyllia_echinata",31.2931034482758,34.0463215258855,32.2343324250681,34.9046321525885,33.5694822888284
"2844","Echinopora_gemmacea",30.8346213292118,34.1825902335457,31.9532908704883,34.7770700636943,32.9193205944798
